,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
0,1,1,0,0,0.5809422709250481,0.0,0
1,1,1,10,0,2119.5279403087347,0.0,0
2,2,1,5,0,0.6389931086057885,0.3840820271154916,0
3,2,1,0,0,261.6322226343997,326.3593501570019,0
4,2,1,0,0,0.08466461474504268,0.2630340104359833,0
5,1,1,1,3,0.33658194157352467,0.2929152286469901,0
6,1,3,0,8,52.69321867869072,98.08699463247007,0
7,1,1,19,7,253.60016680421077,0.6034736037316785,0
8,2,1,3,2,15.968565338385327,81.82410227186526,0
9,2,1,78,7,12.373934949183882,75.52549207402659,0
10,2,1,96,12,2.96391097351304,2.379945227084711,0
11,1,1,78,10,96.19879253662342,31.34358026146047,0
12,1,1,53,6,0.6674215993391703,0.23420491860954687,0
13,1,1,67,18,11.011263866281434,108.76645495925919,1
14,2,1,87,6,11.914554444911536,62.844499119437714,0
15,2,1,104,12,42.51384446258312,27.086308439128572,0
16,2,1,96,9,5.079632078238843,0.47214593524824605,0
17,2,1,120,15,8.559533635942326,0.2947236079198793,0
18,1,3,91,21,183.93914459313027,79.17030597801296,0
19,1,1,54,16,280.1378137451867,169.18690502730144,0
20,1,1,70,7,0.7336066556106677,0.2970514749915525,0
21,2,1,100,16,9.730591107675549,78.90350808147392,0
22,2,1,111,19,104.44891515776817,0.4781906662453282,0
23,2,1,58,19,53.307256672820245,432.8414532661545,0
24,1,1,78,8,110.22688607939587,31.289419588047288,0
25,1,1,89,5,193.7987459174396,93.38558085936367,0
26,1,3,67,12,1.2433538749239705,0.501008215502039,0
27,2,1,102,10,39.780293849735386,162.87866652157751,0
28,2,1,128,15,1.2077397489991168,72.6061129841868,0
29,2,1,109,11,1.9679082151790566,4.233495342853352,0
30,2,1,112,20,57.45530588699307,28.339447046712017,0
31,1,1,82,12,193.56409089809284,260.8136537536498,0
32,1,1,78,22,299.80024576306516,20.24122785298715,0
33,1,1,74,26,230.11144819126426,28.089363296835888,0
34,2,1,80,15,5.44720031371864,43.09282938129698,0
35,2,1,104,14,41.61401763823511,149.66142462725594,0
36,2,1,99,16,13.115230315455728,0.7631008492452938,0
37,2,1,119,33,142.94421348675277,1.3102476735532764,0
38,1,3,91,18,17.5551890482778,33.677153888610704,0
39,1,1,88,8,295.66402802163566,113.111100261584,0
40,1,1,64,18,1.1571265158165338,0.7103261430331933,0
41,2,1,85,17,1.6681084211208324,0.7315301107475307,0
42,2,1,105,13,18.622480123914873,97.49361813769359,1
43,2,1,112,14,16.864387134874452,1442.8781815334062,0
44,1,1,84,16,4.817152345110058,1422.4386470592617,0
45,1,1,88,21,43.95602948715699,32.50620187635461,0
46,1,3,76,15,28.61689261468165,1.922892262805823,0
47,2,1,89,11,590.5988819808481,108.03038471902975,0
48,2,1,113,15,177.6983407189934,24.169396960844438,0
49,2,1,120,30,155.26653871568453,0.4118160259151548,0
50,2,1,108,15,162.49883107264566,54.72479821155119,0
51,1,1,96,11,151.47477289290836,104.17882276605266,0
52,1,1,92,13,131.37131618316562,1.1351267839160573,0
53,1,1,78,19,126.81827366040376,11.648854891092093,0
54,2,1,112,19,437.671623167427,31.211093817361707,0
55,2,1,120,9,158.96221157570983,88.33308740971233,0
56,2,1,122,19,144.2223081266496,22.777358399837084,0
57,1,3,112,22,375.47931963224323,1.0311726678208515,0
58,1,1,112,28,134.63089011758765,59.90262285040741,0
59,1,1,76,10,745.3148816381013,111.27914509887448,0
60,2,1,94,18,128.0964411819889,5.934326609674552,0
61,2,1,124,20,2.621272436846034,2.449814368204986,0
62,2,1,123,7,148.939812953164,83.21585240862461,0
63,1,1,96,24,143.70646410989576,89.92617330066524,0
64,1,1,75,20,476.96868769363994,677.2134258483826,0
65,1,3,38,18,477.31012416414404,1052.2290680081132,0
66,2,1,77,11,421.79651466997177,1292.7024629268165,0
67,2,1,88,2,839.4842373839459,1567.4604952655895,0
68,2,1,80,17,445.15679838123236,1771.5250398029318,0
69,1,1,58,11,418.07481675393495,2178.244809733782,0
70,1,1,57,3,398.22100353449844,2252.127689211826,0
71,1,1,40,17,397.6830825187588,2545.34983583226,0
72,2,1,85,3,2.267278834179353,2265.315277863833,0
73,2,1,104,22,107.04401845092744,1464.291259422576,0
74,2,1,107,22,1300.0313323649493,1280.0498881349056,0
75,1,3,83,12,108.86965828126027,1147.2162954284277,0
76,1,1,64,6,405.7167403019427,1780.4587342662091,0
77,1,1,39,9,388.9199899632052,1938.6827988513446,0
78,2,1,69,7,313.87034756081476,2121.4178646626274,0
79,2,1,82,2,1451.898345775413,2325.809100379306,0
80,2,1,85,5,1534.0676500491404,2382.513519811188,0
81,1,1,68,15,313.8670046318796,1680.7976828832436,0
82,1,1,64,18,166.76758975638404,1511.0834212011594,0
83,1,3,61,15,144.06244886261197,781.505341659974,0
84,2,1,71,19,36.92116216535017,16.586842680142155,0
85,2,1,105,9,20.914383824349457,90.93083047374121,0
86,2,1,119,22,22.01035101333706,155.66699353862464,0
87,1,1,75,1,339.01122532560674,215.5811133250823,0
88,1,1,60,16,4.928211384874461,6.230229825872277,0
89,1,1,50,17,100.82271299264738,575.4098968295651,0
90,2,1,83,15,172.76071505843618,1541.8805769974117,0
91,2,1,110,3,282.4240650709529,2227.1862272502076,0
92,2,1,101,19,485.7851516016551,1670.7467663051477,0
93,1,3,80,22,168.42115105228183,1304.675585014423,0
94,1,1,83,14,296.18281403314415,1472.757663020033,0
95,1,1,68,11,380.4771815605517,86.1325685292694,0
96,2,1,72,13,246.5105290302889,0.42192205835881386,0
97,2,1,79,19,182.38269738814654,14.2026371333559,0
98,2,1,72,16,762.8872362497816,43.99758706118205,0
99,1,1,90,15,32.46898093359311,105.48423967196491,0
100,1,1,100,14,97.945921113675,29.97623592390828,0
101,1,3,106,18,174.16170777977405,10.82197497689208,0
102,2,1,119,10,51.848422492313496,215.50744409481592,0
103,2,1,126,29,96.17518149670046,343.1405732530308,0
104,2,1,125,22,116.82524329540365,4.878107318213429,0
105,1,1,82,23,244.6734917546458,9.358123959634717,0
106,1,3,78,28,33.37240308046187,55.427415405611534,0
107,1,1,70,15,670.6755333253958,113.18345661301059,0
108,2,1,89,17,91.77937512626148,25.609829127915766,0
109,2,1,110,20,67.74287885038203,296.8378205724824,0
110,2,1,94,3,1338.3411744754242,200.98553507247698,0
111,1,1,63,16,433.18251396676555,1029.445723263012,0
112,1,1,53,5,501.59217670634627,1150.1459188931944,0
113,1,1,43,25,388.60718122220106,1691.3415229016177,0
114,2,1,74,19,513.7803987280789,2057.804066799234,0
115,2,1,80,1,475.8404784107482,2241.616795639942,0
116,2,1,84,12,1258.324589659011,2305.7893935816774,0
117,1,3,49,9,447.7426403600381,2157.0444354284177,0
118,1,1,49,13,393.762659501142,2103.857808658384,0
119,1,1,41,3,407.3293717952963,2344.3140424679427,0
120,2,1,73,15,373.7572660657922,1608.3856205502436,0
121,2,1,81,20,461.90561133758223,857.2232430867564,0
122,2,1,78,13,1209.813468952727,476.6255777877703,0
123,1,3,57,6,809.7018041934062,1273.115746241661,0
