,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
0,1,1,0,0,0.4652277906513405,0.0,0
1,1,1,13,0,969.6412554366739,0.0,0
2,2,1,6,0,0.6312591958590131,0.35040353402753016,0
3,2,1,0,0,261.6204262039975,326.3605019699151,0
4,2,1,0,0,0.08344061519848067,0.26880052059974113,0
5,1,1,1,2,0.9077614809244896,0.47550030891674233,0
6,1,3,2,11,49.480293030956524,89.18370344990286,0
7,1,1,20,4,253.56811230457268,0.5169639179479344,0
8,2,1,2,5,1.665339052127154,5.028314519910193,0
9,2,1,77,7,0.8252638429499062,0.2645071726830715,0
10,2,1,99,13,4.255250427335506,0.33497191937317844,0
11,1,1,87,3,142.3971602772664,0.583632211704801,0
12,1,1,62,9,0.7919283833519845,0.2532022383178211,0
13,1,1,65,15,0.8609416254082762,51.51565987801079,0
14,2,1,90,11,0.7473159763130228,74.15619273176327,0
15,2,1,104,2,11.609946370582827,190.40144402067705,0
16,2,1,92,16,99.76858034769471,51.245142256693406,0
17,1,3,69,22,0.8899066323751971,0.28948993199181955,0
18,1,1,80,22,0.6654900841858957,0.35406865906718765,0
19,1,1,81,11,267.1138792654962,109.19667097798185,0
20,2,1,72,13,0.805342083897081,0.3042923063212277,0
21,2,1,108,25,1.3943348448726898,0.27628328073913144,0
22,2,1,104,19,113.92742221258897,75.13509980281376,0
23,1,1,67,8,207.7271969291727,41.44573069786182,0
24,1,1,73,14,0.8368094698248268,0.23683357928446053,0
25,1,3,68,12,12.202276691138534,80.52024003378983,0
26,2,1,69,11,10.730289157802314,68.62143835718072,0
27,2,1,105,6,41.74537081326094,911.0945795233464,0
28,2,1,109,22,50.221342816274344,55.93841482920861,0
29,1,1,71,22,1.2327214713833152,14.657449000601058,0
30,1,1,90,16,10.099352952872968,45.93939652706722,0
31,1,1,73,11,453.9237115927921,266.04430024442,0
32,2,1,58,27,0.8172238518126547,1.153512976093511,0
33,2,1,93,18,41.17439342326938,99.97346769952328,0
34,2,1,91,9,114.50600346945154,222.87306373042722,0
35,1,3,86,20,9.437624185393629,202.9390964790191,0
36,1,1,83,13,7.083245541089915,527.1353299793178,0
37,1,1,68,6,10.684857043783381,986.0878054280836,0
38,2,1,106,12,10.9728630298388,1161.6409458639087,0
39,2,1,109,14,7.47739100518393,2837.925278972135,0
40,2,1,98,13,159.0204502858176,1647.4315321984323,0
41,1,1,78,18,0.6474303578065838,174.32159690418356,0
42,1,3,92,21,27.614868378301463,107.22815273267345,0
43,1,1,70,17,291.90277174688003,99.04724571482107,0
44,2,1,98,19,27.824853160792298,887.810884064027,0
45,2,1,111,18,75.03435172092261,6.121288197429907,0
46,2,1,108,17,249.55171307751084,1.0329007319311743,0
47,1,1,85,8,369.46962321147055,7.63348574259051,0
48,1,1,82,8,5.308017543016534,0.38392500744662866,0
49,1,1,62,13,10.070910886712412,42.656611255795895,0
50,2,1,75,19,41.5265054100061,145.86776891700862,0
51,2,1,91,12,195.7033863831293,253.18345978031064,0
52,2,1,87,7,499.6191134925726,276.62419259972324,0
53,1,3,67,11,438.3863195590247,1299.783027076535,0
54,1,1,45,10,412.75704586502076,1860.1887829479904,0
55,1,1,46,6,412.47772943182605,2481.103200899172,0
56,2,1,58,8,425.90813514032135,2575.000527922385,0
57,2,1,90,12,7.178330199338411,1727.455360312884,0
58,2,1,97,12,33.664912554858894,1755.7762182356628,0
59,1,1,86,23,23.313411652786197,583.001629646507,0
60,1,1,110,14,48.67557495270017,535.7983225895491,0
61,1,3,102,16,9.14882429701204,65.08983015170318,0
62,2,1,107,12,51.2789915943771,689.4476673463752,0
63,2,1,119,5,39.82276689678358,899.8297568164709,0
64,2,1,124,17,684.3634335926536,2074.6182038182346,0
65,1,1,82,18,31.303234043568406,1889.1179761143412,0
66,1,3,69,5,228.16573575766637,2767.428937453465,0
67,1,1,70,4,258.57034261198106,2375.521319076554,0
68,2,1,97,4,625.3028981493622,2501.62090180047,0
69,2,1,100,1,228.17849919181126,2978.3088720619776,0
70,2,1,94,9,552.296858260734,2815.9211548883836,0
71,1,1,67,5,566.3250519794408,2820.000787242566,0
72,1,1,54,3,543.3911596247799,2978.2442970040215,0
73,1,1,50,10,197.63898725363865,2778.8563505496736,0
74,2,1,69,9,406.38386950359467,2551.1192365621205,0
75,2,1,67,1,473.3861601988319,2819.9936152582086,0
76,2,1,61,6,1599.8323684426305,3036.683340673954,0
77,1,3,55,7,403.68181514733755,2815.8217137283227,0
78,1,1,57,2,191.143824945037,2867.9949724954695,0
79,1,1,55,7,258.12441170486625,3034.689180255317,0
80,2,1,77,2,566.4094968429957,2867.9540295047664,0
81,2,1,82,21,647.4469607106216,2777.399843385082,0
82,2,1,80,15,1322.8112554128786,2628.2468061193085,0
