step_time,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual
54015.0,0,0,4.403310130569869,3.7495680345572353
54030.0,3,0,5.173265759180313,3.7495680345572353
54045.0,1,0,5.533783193884148,3.814755465713474
54060.0,0,0,788.3047218304165,982.2154671774367
54075.0,0,0,4.273903111226348,3.8960654490732454
54090.0,1,2,4.850370667002727,4.771433511148174
54105.0,0,8,1988.4516413286985,2483.728424784874
54120.0,4,15,7.271596028502802,6.115106005816433
54135.0,2,6,15.994624762744168,15.471438772597903
54150.0,53,10,9.627380422601739,5.742204462292357
54165.0,85,15,9.33993954481432,4.588671536642002
54180.0,99,13,17.301495936880656,14.216141813367736
54195.0,87,14,2062.6706869527416,982.8750003044772
54210.0,80,15,794.8350236126456,983.2341111865533
54225.0,98,12,17.329691986429765,4.735524751616169
54240.0,76,9,1383.2704983513197,39.04975346130471
54255.0,58,13,2649.011253204294,982.8565453899637
54270.0,77,13,17.995852657783757,5.358882499708722
54285.0,93,8,1902.6173931298288,983.2462936520144
54300.0,52,3,4031.931462707002,5501.965255478064
54315.0,54,4,324.75024829483823,386.5517630603668
54330.0,99,8,1216.4872086229248,1505.0597497371468
54345.0,102,7,1538.9280883230772,1505.6435335202036
54360.0,68,10,5905.158394150566,2743.4810780354346
54375.0,100,18,131.70109524795163,7.442432934330894
54390.0,89,22,3305.0196423431453,1506.8362374972353
54405.0,62,19,9182.986500897428,9.924505885463436
54420.0,74,12,4751.717023884208,12.317757779457235
54435.0,95,15,19.917453824718983,28.03195559383662
54450.0,88,14,2273.563459547762,6.116883212379541
54465.0,64,12,6133.32272003557,15.42108363475954
54480.0,63,6,10186.08947327705,386.02194261481725
54495.0,94,8,43.42842868356886,24.199401484335077
54510.0,104,14,1127.3700329318044,24.760776169754884
54525.0,90,17,5608.460717004867,11.59576989419239
54540.0,58,18,5989.481067055912,1129.7013662705049
54555.0,67,15,1138.5431700533643,3471.853406084959
54570.0,65,9,1086.6672801820037,3460.4431013118274
54585.0,49,23,11561.850679911633,6.765933475119311
54600.0,59,14,2174.706173061076,3713.810299509891
54615.0,78,15,1029.205877323915,13.321628758932018
54630.0,72,19,4081.4649455144104,3398.3342878965586
54645.0,68,10,11953.355578032777,774.3516079780953
54660.0,49,5,6886.014540788408,6018.53969247551
54675.0,78,17,67.64244391154155,3543.311852056674
54690.0,101,28,1239.0416210997107,1513.6613437476763
54705.0,93,20,1260.1613357657604,2157.0829422613565
54720.0,66,18,8621.393111549174,7967.225076715152
54735.0,47,12,5612.522489452927,6985.627134364116
54750.0,102,13,2717.1541526468723,11908.497368460998
54765.0,117,4,1239.0927974238746,4561.8459875438
54780.0,78,18,4005.2293718291367,1802.8333334347244
54795.0,54,14,38.3778447508085,26.13845717226955
54810.0,109,17,42.288204093746764,3467.399448172663
54825.0,103,21,7011.055035724852,9235.298202507924
54840.0,67,10,5521.186985930162,986.440864818207
54855.0,85,9,325.13739784838845,7.300802277494658
54870.0,88,9,2058.532371598684,12.513349361885973
54885.0,43,8,6610.936507558634,2188.3890565294505
54900.0,63,4,2018.4739826257528,6502.208944460288
54915.0,79,14,899.0832338755407,7686.851910869979
54930.0,67,13,1489.673840145972,8428.322483747279
54945.0,66,12,5328.982272009681,3468.798152612702
54960.0,85,12,899.3213640923823,7519.9378385170585
54975.0,94,6,1253.482307848567,4962.851697904212
54990.0,90,11,2083.402264137732,13.62277353605885
55005.0,53,21,5504.186495620415,1348.5474567919368
55020.0,89,6,11912.99148419715,3753.1172043541446
55035.0,85,19,147.86778233572883,2502.527714330121
55050.0,77,14,2437.9489744122648,2952.8739270392557
55065.0,72,6,4933.272015966428,2947.8384656094913
55080.0,76,15,903.9407773637648,998.3609848700174
55095.0,77,13,4886.315094747399,10.01858078605667
55110.0,86,23,7446.566699411366,12.68282152089514
55125.0,81,25,1797.5850791845753,1928.5775949815902
55140.0,92,11,6919.547517060314,9630.815928463298
55155.0,90,15,4866.933994808633,3604.366453971791
55170.0,69,11,5623.10981579757,14.232682149595863
55185.0,64,14,6233.3134584845275,1703.52476657656
55200.0,83,13,1297.8267726931706,5139.169679634056
55215.0,65,8,8405.986035172386,11910.955210975053
55230.0,98,17,9650.175235791603,1507.189136547345
55245.0,95,16,1162.659349025322,8.156081357816287
55260.0,61,6,6423.54345692152,4028.1793223353607
55275.0,59,12,3318.831007934389,6.761671022484139
55290.0,103,8,8972.36459595218,1527.8117022826605
55305.0,62,22,5919.254238943274,3396.6047012529043
55320.0,88,15,1874.768604479734,4119.502716248007
55335.0,95,18,3572.754537418597,721.8473131332734
55350.0,99,20,6413.513271889085,2192.5099515729135
55365.0,66,12,186.76848377791316,712.3067436007279
55380.0,85,15,843.776466669705,5407.357968032878
55395.0,62,15,65.72354193771699,7315.34456753024
55410.0,98,16,127.8673450984665,6925.47275272814
55425.0,88,21,3229.54017532712,9191.25994781129
55440.0,100,12,10461.402702138887,7905.597601805998
