,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
0,1,1,0,0,0.5700545453339421,0.0,0
1,1,1,11,0,148.87724430313577,0.0,0
2,2,1,6,0,0.6339898540648383,0.2704670488370823,0
3,2,1,0,0,261.62731274038634,489.39662772584813,0
4,2,1,1,0,0.0652189730703414,0.3678212275946703,0
5,1,1,0,2,12.191421927104582,4.055478689089709,0
6,1,3,0,17,52.7282252518714,81.77806874512343,0
7,1,1,9,6,130.70123805443404,0.6969976747718538,0
8,2,1,2,5,1.309342518792821,4.64123276054203,0
9,2,1,78,5,0.8463147002035104,0.2943232615672284,0
10,2,1,101,4,9.260851037736854,0.374193208821425,0
11,1,1,84,19,145.2857108231698,14.548863286830269,0
12,1,1,58,15,7.952944543405006,39.49174969444348,0
13,1,1,63,10,0.9080654584761437,24.95996897889447,0
14,2,1,98,15,0.7401908219331872,26.92789072547924,0
15,2,1,85,8,159.24215926524198,255.03175382544228,0
16,2,1,79,18,7.792719390470977,0.23092495688885634,0
17,2,1,89,20,16.9929205247992,157.50243310556283,0
18,2,1,65,8,150.4143245730661,53.51585416141678,0
19,1,3,53,5,51.528171580738935,133.3000208063031,0
20,1,1,58,11,6.044494062880775,35.19885143990543,0
21,1,1,66,17,0.7530640556326842,0.2715396256966415,0
22,2,1,72,14,0.9697575658922649,0.4823989036491024,0
23,2,1,81,17,1.3250167355290763,19.705223136764882,0
24,2,1,71,12,225.91301935586304,33.706023166355706,0
25,2,1,67,10,366.5036367654078,37.269813693616534,0
26,1,1,86,7,1.9393566946037784,39.598310647145134,0
27,1,3,88,6,390.95530397407913,443.92962855729047,0
28,1,1,59,1,2.840650091329135,3.3502501712666684,0
29,2,1,90,16,19.685752421079158,161.6532757031055,0
30,2,1,96,19,7.494386202388078,0.4260448176327479,0
31,2,1,76,17,19.90436816198819,185.88625460657875,0
32,1,3,70,9,11.364580834834674,108.28070384328775,0
33,1,1,91,9,22.915172900234673,129.38138252172956,0
34,1,1,56,16,288.80343258019053,135.30989241476405,0
35,2,1,70,17,375.06970995299497,412.320074564515,0
36,2,1,104,19,336.80912455887585,0.9221047434928729,0
37,2,1,101,9,313.7128598821534,0.3548045014521035,0
38,1,1,94,14,10.716449894670323,130.0258982100983,0
39,1,1,102,10,29.424787559515515,62.67452712236781,0
40,1,3,84,19,12.281837523610797,0.6403684954929563,0
41,2,1,99,21,21.396749287715792,134.7515858322192,0
42,2,1,117,22,30.958819877820012,130.0825686657983,0
43,2,1,111,13,407.59670557729,128.00546237669312,0
44,1,3,63,20,481.12804909653363,93.04700771665846,0
45,1,1,81,17,10.751218583798549,1.1053257170512494,0
46,1,1,86,13,2.1598822120531915,32.04280726238678,0
47,2,1,105,11,108.11382436654242,140.76156601135824,0
48,2,1,114,12,392.21269916279954,92.76290037597738,0
49,2,1,67,9,642.3293620298753,19.397939600569455,0
50,2,1,60,15,683.1658219828388,135.4458644943373,0
51,1,1,93,11,215.14643042423927,0.8430902562993162,0
52,1,3,101,19,201.63910020848633,1.5033817021622022,0
53,1,1,97,21,586.5486531977563,249.67142704599854,0
54,2,1,96,20,94.4643032269482,943.9833769364741,0
55,2,1,112,3,647.7874392648033,2329.397094306097,0
56,2,1,97,6,897.6962276177762,2400.9409325585375,0
57,1,1,63,4,510.57024442085066,2371.6726479321487,0
58,1,1,64,1,467.94355931272503,2422.596615521901,0
59,1,1,45,4,564.8396659895008,2530.8526488966445,0
60,2,1,69,3,578.5827601581956,2401.277971156095,0
61,2,1,84,6,514.9052389289824,2347.541390423474,0
62,2,1,81,10,482.60198278433,2335.0441308373847,0
63,1,3,59,3,504.03386904347207,2423.1652863767463,0
64,1,1,54,9,535.9750696730259,2461.6704587211916,0
65,1,1,32,4,665.1086783454032,2335.5043608279543,0
66,2,1,71,7,561.9650517904153,2392.8408627028,0
67,2,1,83,6,471.09480785696746,2419.3410317907,0
68,2,1,86,5,489.1903512886521,2400.8888133865175,0
69,1,1,68,9,39.8157087283661,2253.601021279996,0
70,1,3,72,9,376.76260864042575,2318.527100066993,0
71,1,1,76,2,406.17206658757334,2512.7340562954346,0
72,2,1,95,7,20.056829695203355,2449.679854443154,0
73,2,1,111,22,21.995558742729784,1926.0024202475217,0
74,2,1,109,22,411.7162869834457,953.9694562730333,0
75,1,1,85,15,427.9636478014952,76.57208706630985,0
76,1,1,88,11,379.8870089645574,4.001403651556994,0
77,1,1,82,20,22.8173230022687,49.100347043582154,0
78,2,1,76,16,33.06423140301921,96.22901144787166,0
79,2,1,106,6,60.105834092819485,223.89358206046637,0
80,2,1,106,13,74.98766296949249,181.5413206998149,0
81,1,3,107,4,29.84407227830533,1125.9116367574002,0
82,1,1,102,11,288.11405914026625,1389.4379532777725,0
83,1,1,58,2,301.10363257969954,2303.4045921403786,0
84,2,1,95,5,22.334840368815804,2889.1407904329903,0
85,2,1,99,19,35.947998880403524,2133.750548048916,0
86,2,1,103,25,199.08574440382486,1337.3439156097263,0
87,1,1,92,12,197.31325109441144,754.825490055724,0
88,1,1,84,23,16.132066369100727,597.6235658510388,0
89,1,3,80,21,49.13357324675932,115.08930011628969,0
90,2,1,107,12,18.89325594457061,6.268133076778375,0
91,2,1,122,17,33.09035474536563,91.12004822382445,0
92,2,1,119,13,88.75232241888595,77.33753242518073,0
93,1,1,90,31,3.6177220865654776,12.466309099582478,0
