,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
0,1,1,0,0,0.5404092830006811,0.0,0
1,1,1,11,0,166.92340727460717,0.0,0
2,2,1,6,0,0.603825998689208,0.23202733217711652,0
3,2,1,0,0,261.656914148005,326.367737278943,0
4,2,1,0,0,0.09157751212178476,0.3552600496432096,0
5,1,1,2,3,0.49999842715952525,0.34709598796527014,0
6,1,3,0,7,46.56296605565754,98.07268553263152,0
7,1,1,26,4,268.06331370530853,0.5539347482519995,0
8,2,1,2,4,15.652886803579063,89.21820334514342,0
9,2,1,81,7,11.490864566077475,89.17125462398056,0
10,2,1,101,8,6.269429694709302,0.31059602351803023,0
11,1,1,58,5,49.51299233808357,7.095512388556533,0
12,1,1,37,12,19.208472679708,155.1859326767546,0
13,1,1,45,21,1.0572301801890487,54.37533675131733,0
14,2,1,102,5,0.7347792688307083,0.24476376796867697,0
15,2,1,102,2,44.52212751702329,52.216555514384545,0
16,2,1,95,11,2.165835197756529,0.23021793052600983,0
17,1,3,94,16,44.72272295451998,0.2717173536841421,0
18,1,1,59,15,118.65166478212946,0.3146998134289729,0
19,1,1,43,8,109.0654303768214,10.701769912631688,0
20,2,1,70,13,0.7203882721975912,0.2387720057150964,0
21,2,1,98,14,3.794808873636966,0.6006310600142006,0
22,2,1,91,24,8.137528671917554,17.066610548049617,0
23,1,1,67,12,41.13825397008885,34.952843553954764,0
24,1,1,62,15,0.67114310468633,21.807714883732498,0
25,1,3,62,22,1.3660704450216228,0.7287689028845514,0
26,2,1,80,19,0.9137908103590735,19.681271297062427,0
27,2,1,104,15,13.801097913216935,71.34645528332555,0
28,2,1,106,13,280.4258325739214,18.67130403069211,0
29,2,1,112,12,8.846859282713117,18.985719721682194,0
30,1,1,80,21,176.72565325313468,39.49656692831831,0
31,1,3,86,22,312.7503092764986,106.74819552068107,0
32,1,1,77,16,0.8169601929302985,0.37594483367311404,0
33,2,1,99,14,1.1174295573250328,0.5162647643800462,0
34,2,1,112,13,15.459805854370668,81.63802093986375,0
35,2,1,103,17,24.38707509971925,140.32324601174113,0
36,1,1,117,13,8.72832678203978,79.29034230050506,0
37,1,1,101,14,695.6902252020489,0.305939881987013,0
38,1,1,75,7,869.3711379509159,202.10359859389126,0
39,2,1,102,6,50.11593237879294,535.522138692302,0
40,2,1,104,9,3.137882618504222,60.78300799139995,0
41,2,1,85,10,164.1208936364086,134.7569458271752,0
42,1,3,61,13,9.41197351907027,22.99509912895839,0
43,1,1,81,7,33.426755648575266,159.50522773275767,0
44,1,1,58,14,14.421286911937536,0.4232332211902382,0
45,2,1,106,14,261.7662114695119,0.432662413262483,0
46,2,1,128,11,411.6642151713981,1.0905675224160072,0
47,2,1,85,13,973.1489867981604,137.26480263883667,0
48,1,1,67,10,226.22685941434185,0.44942590952098344,0
49,1,1,70,24,215.08421692580467,0.4884521271506894,0
50,1,3,61,21,362.3605117706476,0.9431850328449635,0
51,2,1,87,12,5.441986102085823,2.615410695844297,0
52,2,1,93,8,3.9348624283941147,0.61801737900721,0
53,2,1,76,25,93.20935664522194,0.6562381735224041,0
54,1,1,79,11,139.42909824158414,84.14421467786377,0
55,1,1,83,25,931.204368629896,96.06517786291697,0
56,1,1,74,20,668.1240528164642,228.68814041781593,0
57,2,1,95,36,610.2062869473776,688.3278137708581,0
58,2,1,93,26,37.6822545916874,1522.6876916496199,0
59,2,1,95,12,213.80671644288128,1540.6417282843536,0
60,1,3,76,18,74.85234088772316,1587.9404659828951,0
61,1,1,85,15,409.88810275978017,496.06514544978376,0
62,1,1,72,5,745.2833456817903,358.703183462596,0
63,2,1,99,6,779.382731454035,1292.6354635558985,0
64,2,1,99,3,899.6959045656761,1718.0116458249447,0
65,2,1,95,9,809.6446245175882,1572.5301265619712,0
66,1,1,57,14,776.461893112299,2324.6674926068526,0
67,1,1,44,16,805.4913385222744,2408.717804431863,0
68,1,3,41,3,857.402296466375,2453.808177586888,0
69,2,1,73,13,979.7285630537448,2366.174017522777,0
70,2,1,89,8,1003.1791527041431,2137.2697526824,0
71,2,1,80,5,1013.4501707502536,2386.4754491679787,0
72,1,1,59,3,908.2310621971482,2409.1832651660347,0
73,1,1,42,11,1083.0628804496873,2324.6715664847147,0
74,1,1,29,8,1062.4848306017786,2246.9860143946817,0
75,2,1,53,0,1014.4919126451505,2333.346596112858,0
76,2,1,75,9,1080.5211381292202,2409.2056898380147,0
77,2,1,71,16,1762.619408394426,2219.6583840279536,0
78,1,3,46,4,1009.9289819808515,2500.1177605716903,0
79,1,1,34,3,768.7447169713079,2544.379829885031,0
80,1,1,28,5,891.9741315814078,2366.196593455749,0
81,2,1,54,7,1079.938384068453,2324.800408116501,0
82,2,1,67,3,1022.1210674597329,2325.4284051163904,0
83,2,1,69,12,1929.1748103942184,2492.438186764359,0
84,1,1,48,11,756.4464978129106,2409.19086012711,0
85,1,1,40,19,665.611147667818,2324.674965365527,0
86,1,3,22,13,691.3623465231717,2172.2611724106673,0
87,2,1,60,5,847.9061067935988,2289.9806222361512,0
88,2,1,72,2,1072.665110648571,2409.1981177172192,0
89,2,1,71,8,1134.7533654192944,2324.670135733713,0
