,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
91,2,1,62,0,677.1513569496825,2362.1299454535997,0
92,1,1,47,5,570.6613986379202,2421.969739037936,0
93,1,1,46,8,541.7856022827281,2175.7022570978975,0
94,1,3,45,9,522.3036077304293,2049.5958722408077,0
95,2,1,75,2,45.56620656930863,2253.277666194215,0
96,2,1,93,8,70.85347594209806,2468.554031407676,0
97,2,1,106,22,911.0327623891011,2251.5836560500775,0
98,2,1,57,14,894.4659296978068,2259.040183361275,0
99,1,3,65,3,720.1341879143346,2300.3835131886713,0
100,1,1,86,10,168.45488352097917,1667.4542014215967,0
101,1,1,83,28,2989.296279219833,20.467831530203053,0
102,2,1,95,25,588.6964098888552,78.81950318347013,0
103,2,1,85,7,644.6206467378651,35.87417746124873,0
104,2,1,79,16,169.9523337811546,219.64534144992558,0
105,1,3,99,11,639.2778519016307,231.80180004830154,0
106,1,1,58,0,3806.7656290843647,971.4763266891774,0
107,1,1,18,9,4297.948696751557,1452.8470959477397,0
108,2,1,44,2,4370.910353821054,1772.2214598913042,0
109,2,1,53,8,4751.304675544148,579.134716858976,0
110,2,1,49,8,4859.955205398238,2219.458429508832,0
111,1,1,60,10,3760.2306103112737,2415.794922524465,0
112,1,1,60,11,3443.1488697193677,2036.6156657299446,0
113,1,3,52,23,1336.7055937782384,1481.2329315422276,0
114,2,1,61,20,137.30473103318525,1605.687555645555,0
115,2,1,82,16,738.3285277922752,981.5859461855983,0
116,2,1,80,19,55.77639814812105,1491.444913140654,0
117,1,1,100,14,3274.3023539883425,1653.8774500708935,0
118,1,3,88,5,3701.0622440191623,2891.3827580037755,0
119,1,1,40,0,3409.4885689925577,3101.955344580773,0
120,2,1,75,9,2012.8783212088251,2823.565277633647,0
121,2,1,77,6,534.7849763942762,347.64402877507155,0
122,2,1,63,9,720.2469621391966,53.64754216834578,0
123,1,1,47,10,1194.8106632082786,401.0322048412399,0
124,1,1,64,8,6.068496005094763,20.84454036218013,0
