,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
0,1,1,0,0,0.4749033109157878,0.0,0
1,1,1,12,0,423.26706585296364,0.0,0
2,2,1,5,0,0.6352890948651292,0.3787092262540821,0
3,2,1,0,0,261.65493676850724,489.392792158061,0
4,2,1,0,0,0.08848534238272078,0.3587272853491969,0
5,1,1,1,2,0.2543560368943003,0.3013432552028939,0
6,1,3,0,13,52.71674292229135,98.07991581085831,0
7,1,1,10,6,134.44305273759318,0.8079888718283356,0
8,2,1,2,0,0.7523211623978766,1.0906348373203858,0
9,2,1,87,7,12.487913077000323,65.5234328188487,0
10,2,1,97,12,115.66404736542533,0.4065035215282636,0
11,2,1,97,3,118.13829115793585,3.9134567933672293,0
12,1,1,64,8,0.596087073110893,0.22965653058886912,0
13,1,1,82,17,1.234338222849569,31.97523362398673,0
14,1,3,84,17,489.53078793738086,0.4855040856138999,0
15,2,1,85,8,2.40385507676761,11.316669045878685,0
16,2,1,84,10,1.2590518387072813,0.3026691112595961,0
17,2,1,99,13,121.06848649806045,71.82596823976709,0
18,1,1,74,15,1.3980263166459752,4.237372143382392,0
19,1,1,71,9,301.55140555517596,297.47616799727547,0
20,1,1,54,11,10.622080961503833,96.16960347696408,0
21,2,1,77,13,13.444491331812415,75.57643067978867,0
22,2,1,110,24,11.58409364345639,88.76406402601314,0
23,2,1,99,9,88.6831582445651,222.0728044135865,0
24,1,3,65,22,0.6229511360373574,0.4355176928129588,0
25,1,1,79,22,0.6542171825098941,0.4017929448894942,0
26,1,1,72,21,1.038616629070222,0.7549811174065283,0
27,2,1,88,9,61.637073027019,213.85035076029385,0
28,2,1,110,13,1.0854858248260812,1.061511778019751,0
29,2,1,112,30,5.878698604470974,19.020659637078275,0
30,1,1,90,20,47.98164994122092,68.89660260507533,0
31,1,1,84,12,540.8658256230086,121.70636970578883,0
32,1,3,52,9,1.9530544794155331,0.5554448643688535,0
33,2,1,80,32,1.2243208798301919,2.0759574448794456,0
34,2,1,110,31,10.92795242137075,350.7526374544705,0
35,2,1,112,7,20.94984286315691,464.0399661062101,0
36,2,1,103,11,304.83585993278365,22.50311546160857,0
37,1,1,85,11,280.9294612868302,64.09709789575616,0
38,1,1,97,7,701.1793987828867,41.88603276230219,0
39,1,1,56,13,166.0738307502712,636.1130331135148,0
40,2,1,88,6,19.919436149221944,930.5444798495208,0
41,2,1,116,2,253.80456668451157,1045.6593204722692,0
42,2,1,97,0,248.57463850158916,2109.723334069051,0
43,1,3,57,24,296.5660271470545,2038.725045073859,0
44,1,1,48,26,210.8302471510033,1547.4694172520524,0
45,1,1,30,29,218.4532405585754,1226.946097406647,0
46,2,1,66,18,32.35808141324012,723.0724234951074,0
47,2,1,92,3,47.24200248779995,1858.158992776332,0
48,2,1,81,19,156.70938866853078,4.11958661098051,0
49,1,1,68,29,24.88167373062651,11.219945960013401,0
50,1,1,81,13,27.594855777547494,29.956154848553393,0
51,1,3,67,19,363.65439902936436,53.8152244422166,0
52,2,1,90,13,6.939908892077288,21.516095297448256,0
53,2,1,107,17,22.534624515513084,1.6816516780559074,0
54,2,1,109,23,55.64883039983454,39.19626381945867,0
55,1,1,111,14,55.50099842360399,796.5539663437394,0
56,1,1,112,20,16.70268520147472,875.4404440857304,0
57,1,1,103,12,33.848906850630875,133.8327308820397,0
58,2,1,110,12,36.884992680600604,958.0754605757024,0
59,2,1,130,9,108.03195027808245,1589.2081273470542,0
60,2,1,113,11,54.180498986856705,1934.8693760550134,0
61,1,3,89,21,275.5462740556375,1691.6452616723543,0
62,1,1,85,18,295.5153433290636,895.5059210078624,0
63,1,1,61,17,398.6722703763662,102.89403043996002,0
64,2,1,111,16,36.76882615987521,134.1692670738642,0
65,2,1,120,6,30.03236944444092,60.7619417510724,0
66,2,1,110,5,398.29960327578664,117.52365968314241,0
67,1,1,63,17,515.8393936064799,624.411188556866,0
68,1,1,47,3,456.0150993003388,821.9672676692079,0
69,1,3,52,2,330.58674442137504,889.6728010749533,0
70,2,1,78,11,335.53955949698997,2018.8783629096756,0
71,2,1,87,6,413.75832961379405,2465.773183298194,0
