,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
0,1,1,0,0,0.4987680996357028,0.0,0
1,1,1,13,0,50.44397273436849,0.0,0
2,2,1,6,0,0.5667336627608527,0.1509746997640175,0
3,2,1,0,0,261.64944381419707,326.35909635581834,0
4,2,1,0,0,0.06265092997984868,0.3063457178077865,0
5,1,1,1,2,3.0010656682336503,1.080820299361656,0
6,1,3,1,18,52.82475177525077,89.19599250313028,0
7,1,1,9,8,138.3750358566932,0.7168842617269379,0
8,2,1,1,3,15.346468888151367,81.78821292138151,0
9,2,1,81,5,11.782772977428166,108.9674004599592,0
10,2,1,101,17,1.427558647706316,3.2091418311909488,0
11,1,1,61,7,0.6312629891187596,28.370400447556076,0
12,1,1,42,14,0.7253729940472439,30.95730229383804,0
13,1,1,52,10,11.22475669418267,75.29700176008909,0
14,2,1,91,10,23.191003090572973,141.32156455099985,0
15,2,1,104,5,134.4615793883508,225.6806721341239,0
16,2,1,90,16,119.78177693204859,0.25225478143668195,0
17,2,1,96,20,140.24226712841434,0.2592132623977849,0
18,2,1,54,31,114.6843374385181,47.79970914958211,0
19,1,3,59,14,17.92420927569757,128.45893275062843,0
20,1,1,58,12,5.97466416308306,81.79028923419858,0
21,1,1,72,10,11.033659035890002,0.5092463874199714,0
22,2,1,103,17,39.70878991389585,49.20255777858666,0
23,2,1,101,11,3.63121926605946,33.82535050198892,0
24,2,1,101,14,9.735595831952743,25.36823728852431,0
25,2,1,95,13,166.34663217513034,24.158555314639212,0
26,2,1,81,15,43.32648890780076,22.595289243121943,0
27,1,3,80,13,16.146915730007127,89.44585884750045,0
28,1,1,101,15,0.932193649269821,0.5411678186346293,0
29,1,1,100,17,0.8684464096476217,0.4270732987951916,0
30,2,1,123,12,0.9685957081885196,0.4119060204080224,0
31,2,1,107,17,6.008037950379568,43.34199983147685,0
32,2,1,97,14,37.44630957824157,65.5754708470993,0
33,2,1,84,10,40.4889803699686,87.34308254532426,0
34,1,3,86,21,218.06904779094333,210.6946179132274,0
35,1,1,75,7,330.79889362862906,235.65628887403994,0
36,1,1,67,7,40.949138870995846,366.1027427762702,0
37,2,1,87,15,29.813509005091003,0.585936198868295,0
38,2,1,96,23,70.50538166548063,216.7162643227381,0
39,2,1,97,4,44.47290153835296,206.24672559924477,0
40,1,1,67,21,20.948662348724664,93.62104806424126,0
41,1,1,70,21,11.024857825273983,81.14184647529653,0
42,1,3,73,9,10.578470408292898,66.23128794501619,0
43,2,1,89,16,83.08036026833605,166.78467497857693,0
44,2,1,93,16,13.170045813035188,52.36478696670348,0
45,2,1,87,16,156.6931923377278,0.8328121049651758,0
46,1,1,87,12,63.26740983227365,632.0439710515699,0
47,1,1,82,13,258.2979608135644,89.68224318324728,0
48,1,1,58,16,2.7417465838864996,0.9383437325005635,0
49,2,1,98,20,60.45568206620253,9.863369412444728,0
50,2,1,117,21,26.16317289228996,41.836440577317866,0
51,2,1,106,15,109.72313931155888,337.8631930750803,0
52,1,3,90,13,183.31169092912796,686.6815127133196,0
53,1,1,82,2,29.3682434364943,1197.0864371074417,0
54,1,1,67,15,145.6398133063276,367.8729107902996,0
55,2,1,109,25,364.9719011019002,485.5906300980203,0
56,2,1,116,23,52.17740060783397,1948.3569168904276,0
57,2,1,109,30,161.44217113247248,471.0621573460921,0
58,1,1,85,13,354.5471287726217,558.7684206076108,0
59,1,1,83,0,490.4048204465481,800.6538414931305,0
60,1,3,45,22,480.4823089286178,967.644570406883,0
61,2,1,73,16,441.38063050425063,1741.7259798907764,0
62,2,1,82,15,430.7780617781462,2746.1359505174482,0
63,2,1,88,3,11.419263097651218,2119.3010962689673,0
64,2,1,93,17,34.20180681653308,2853.369530561814,0
65,1,1,91,18,6.514189770645967,2336.671886967431,0
66,1,1,112,23,3.782348010264871,1417.966729024886,0
67,1,1,85,2,25.579761938578827,1034.5332590611183,0
68,2,1,107,9,171.42869191339778,1835.9660084915258,0
69,2,1,99,22,198.63555341922807,2048.429375188581,0
70,2,1,96,22,630.5152930377009,2706.518220571095,0
71,1,3,80,3,53.853704112517434,2887.715135841167,0
72,1,1,63,7,195.69485693809753,3079.7741864340164,0
73,1,1,64,9,24.187699107617924,2764.1057878704437,0
74,2,1,97,14,199.43987581791623,2691.6543848408282,0
75,2,1,98,2,285.12952354862136,2840.5457235785675,0
76,2,1,98,7,439.83703329814085,3022.2540938328007,0
77,1,1,63,12,201.0974107495883,2816.9660035594757,0
78,1,3,61,13,393.8501143846471,2819.83720704388,0
