step_time,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual
55470.0,90,11,36.19312208311098,1233.1906927026932
55485.0,88,2,2635.35861686402,8599.442548845358
55500.0,88,5,2320.6868051302836,6417.0382959056515
55515.0,83,9,5260.680913496883,7740.906451607637
55530.0,90,17,8380.193839190475,7913.726347709002
55545.0,105,14,1230.5069150002455,2230.690929747946
55560.0,76,13,893.8107841143484,1790.2652142295337
55575.0,79,18,2262.079985996869,1538.9944164319004
55590.0,75,22,1731.7161841825196,5085.57724056997
55605.0,111,23,4832.126792628665,15229.368021693217
55620.0,82,3,13253.4365060056,10299.453676175413
55635.0,78,15,14259.393561609804,2179.230404414397
55650.0,102,21,2036.706645452644,9122.023180283688
55665.0,102,26,12708.58187871439,10826.292995416983
55680.0,78,33,4716.494655085032,10828.997724833454
55695.0,65,40,7282.565146007969,17421.15277427753
55710.0,97,7,1248.9184489664028,19672.39227553825
55725.0,72,5,6663.547095644748,18259.38574065644
55740.0,56,5,6583.650360455967,22378.038009905944
55755.0,108,4,2717.377165973925,21399.387225709834
55770.0,106,9,8384.871242767706,21399.379106291686
55785.0,61,10,6493.3213230196525,22145.834414180677
55800.0,59,2,8100.45293923418,22377.736956288212
55815.0,59,7,11161.674486876966,19673.030415265566
55830.0,54,7,6058.08368986689,19673.485893698195
55845.0,39,3,6542.223027641514,19673.572782950894
55860.0,41,7,16346.709455643222,21336.907466054625
55875.0,87,12,9106.807881403305,19673.329990156086
55890.0,69,10,8882.7338246372,19672.33311064887
55905.0,58,9,14853.899788357174,20418.78682730509
55920.0,55,2,9894.63599931855,20650.773271093545
55935.0,69,5,10560.4520815631,19673.788321966997
55950.0,86,7,17582.544547942132,19672.916635683803
55965.0,83,4,18198.082802450168,20419.62868774705
55980.0,77,5,7017.098871433364,20676.138598478767
55995.0,71,4,5901.012075846938,19672.576873117592
56010.0,87,15,1847.335251128092,18172.129182908957
56025.0,45,15,7218.413954748385,19981.98287066417
56040.0,25,3,10614.233904611894,21486.82500012603
56055.0,57,15,9236.00224360112,19672.444944536925
56070.0,43,6,6715.934973428018,21084.465648573536
56085.0,49,2,7818.989158420223,20419.185063370453
56100.0,86,6,2620.634722166793,21396.80019882597
56115.0,73,13,8110.921746015731,14492.210901458802
56130.0,84,19,3267.7437810074066,7023.449654734557
56145.0,94,15,5789.760019086569,10158.6523255917
56160.0,80,16,8623.424364204608,6207.64583433992
56175.0,60,17,7094.993284124411,3265.469727972319
56190.0,108,22,10178.708099193174,2287.183410944721
56205.0,107,12,3229.965046110457,9.512735625507187
56220.0,80,9,6970.073634399804,53.35963663345949
56235.0,105,11,7942.059556122895,1748.4532468368536
56250.0,117,26,3575.6922606114217,24.048268185827133
56265.0,111,26,14442.042838397727,5712.314923797922
56280.0,78,20,11117.066186995995,1003.5293036948048
56295.0,71,18,7909.229682888391,8508.88624025505
56310.0,100,19,4770.253673851385,1011.5587003001713
56325.0,117,20,3352.3406104573264,2767.884812450971
56340.0,94,14,9071.818274536006,1985.3611900393971
56355.0,110,7,4419.971767094297,1540.320817242826
56370.0,123,20,7906.9521463484325,6923.719720980373
56385.0,82,0,12460.390608120833,9318.122977812847
56400.0,68,9,8020.771794228042,10809.845024365266
56415.0,62,3,7283.502990036658,14500.791156674348
56430.0,90,14,2624.4059664500674,17962.604692709796
56445.0,96,8,9684.543473543208,19746.859951032333
56460.0,75,1,15573.166454418188,22377.53280726736
56475.0,71,8,266.4503902337815,14488.76864182952
56490.0,95,14,3812.8090304933094,10163.43155067386
56505.0,92,3,19317.90416027802,9356.477465734253
