,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
0,1,1,0,0,0.695770317,0,0
1,1,1,9,0,156.2230862,0,0
2,2,1,5,0,0.577264091,0.179800204,0
3,2,1,0,0,261.6323044,489.3905862,0
4,2,1,1,0,0.064867195,0.354715667,0
5,1,1,1,1,4.422044683,1.010122027,0
6,1,3,0,15,56.42317212,81.88124508,0
7,1,1,2,8,0.676536099,0.526758265,0
8,2,1,1,1,15.92777781,81.85558851,0
9,2,1,89,8,0.758974706,0.208540903,0
10,2,1,98,8,4.048393522,41.76475005,0
11,1,1,74,7,195.5284113,27.01126075,0
12,1,1,60,14,0.741432677,28.11126755,0
13,1,1,54,10,0.946908916,30.53173509,0
14,2,1,91,6,0.752509362,26.88398972,0
15,2,1,94,11,2.480240559,24.30155456,0
16,2,1,61,23,118.3971332,27.97904157,0
17,2,1,77,22,2.926916585,0.293890724,0
18,2,1,87,19,144.4535388,47.93070356,0
19,1,3,71,16,125.9578292,5.054771501,0
20,1,1,73,10,0.904656696,0.263644038,0
21,1,1,97,22,14.83540174,108.1127186,0
22,2,1,111,17,1.026476869,24.2102802,0
23,2,1,116,14,18.7691349,176.8436098,0
24,2,1,97,22,112.1086981,1.342819994,0
25,2,1,100,23,100.6408116,0.614229375,0
26,1,1,88,16,197.4378762,19.56747017,0
27,1,3,109,14,327.4528133,94.76744565,0
28,1,1,72,10,1.879816926,0.772352893,0
29,2,1,98,21,1.085541166,25.70616974,0
30,2,1,99,6,121.0083854,162.550884,0
31,2,1,67,17,113.647259,195.2394425,0
32,1,1,81,14,358.9283422,294.8839958,0
33,1,1,53,15,356.8341013,715.865041,0
34,1,3,62,4,11.93390988,829.5329028,0
35,2,1,76,6,55.6774967,560.8363859,0
36,2,1,89,14,30.73581533,69.45147483,0
37,2,1,97,16,23.61087948,2218.847758,0
38,1,1,88,9,13.74970494,2528.767524,0
39,1,1,91,2,304.4359127,1620.97695,0
40,1,1,42,5,280.8214539,1299.824311,0
41,2,1,105,8,2.340698718,1549.597969,0
42,2,1,104,14,270.1002732,2122.35248,0
43,2,1,100,15,284.926252,1815.973042,0
44,1,3,73,5,245.2418874,1503.42431,0
45,1,1,70,15,278.2422042,2865.215372,0
46,1,1,46,21,307.6481207,2676.748884,0
47,2,1,77,6,530.9988318,2740.003573,0
48,2,1,103,15,192.4549048,2287.777391,0
49,2,1,102,14,242.5781588,1729.054763,0
50,1,1,91,26,373.0952337,1414.14303,0
51,1,3,90,21,189.6285236,1678.928478,0
52,1,1,92,19,41.79157331,1673.692004,0
53,2,1,113,17,176.5834995,975.7620887,0
54,2,1,118,14,11.13550308,254.1072164,0
55,2,1,110,8,512.7329756,290.8342543,0
56,1,1,76,16,19.69403103,1328.404747,0
57,1,1,101,15,27.24725874,224.428335,0
58,1,1,57,22,485.3315246,296.1862419,0
59,2,1,110,8,20.64563904,1124.191658,0
60,2,1,97,3,480.0169271,1919.565421,0
61,2,1,97,7,483.4325629,2375.946996,0
62,1,3,66,11,351.4806312,2224.366234,0
63,1,1,63,1,350.3891254,2357.744018,0
64,1,1,39,3,29.63689666,2415.723658,0
65,2,1,71,11,27.25703839,2279.491459,0
66,2,1,113,16,19.49570996,2238.463913,0
67,2,1,105,3,43.34479411,2323.309107,0
68,1,3,72,11,48.14727161,1847.685718,0
69,1,1,80,25,36.72155013,852.5573128,0
70,1,1,52,9,183.640931,1596.101608,0
71,2,1,79,1,55.41523221,2568.293523,0
72,2,1,104,10,216.9672851,2009.828731,0
73,2,1,98,20,280.8271569,16.23923221,0
74,2,1,106,18,40.7941135,118.7727551,0
75,1,1,70,5,279.9078084,175.2203831,0
76,1,3,67,14,24.30723426,65.90541974,0
77,1,1,64,13,35.39682224,858.7042855,0
78,2,1,78,12,102.0746771,1219.523315,0
79,2,1,83,1,225.4370058,1301.76541,0
80,2,1,82,6,312.8466482,1852.527207,0
81,1,1,68,8,101.7775263,2387.308566,0
82,1,1,55,2,101.4599741,2438.669875,0
83,1,1,36,15,108.1776344,2659.735186,0
84,2,1,75,10,1.330379831,2407.718733,0
85,2,1,101,33,88.60502232,1684.830897,0
86,2,1,107,22,46.45629233,554.7606448,0
87,1,3,68,16,107.1496187,101.0413983,0
88,1,1,57,11,184.5421547,605.14777,0
89,1,1,57,15,27.14050543,664.7510245,0
90,2,1,92,10,1307.685085,202.7545129,0
91,2,1,107,27,32.2813066,567.9299708,0
92,2,1,107,17,126.5021552,1294.252039,0
93,1,1,67,24,970.9558512,1175.271168,0
94,1,3,62,25,58.45615321,374.4212524,0
95,1,1,73,15,360.2870192,1304.666486,0
96,2,1,75,12,483.6878798,1240.399098,0
97,2,1,73,16,1060.797082,0.409260003,0
98,2,1,76,13,1105.439829,160.647633,0
99,1,1,52,14,900.1307218,192.3330353,0
100,1,1,58,8,193.1302852,275.3052169,0
101,1,1,56,17,251.6430802,237.5750456,0
102,2,1,61,16,48.30348392,249.6698477,0
103,2,1,97,28,78.17719328,1016.681177,0
104,2,1,100,7,38.7456086,935.9803789,0
105,1,3,67,13,140.2345468,559.2627517,0
106,1,1,60,20,34.38072649,367.8832656,0
107,1,1,57,4,89.07041361,832.3719446,0
108,2,1,81,3,207.4178448,1835.274177,0
109,2,1,81,13,211.5781812,2276.88485,0
110,2,1,87,8,404.9222918,2856.654793,0
111,1,1,67,5,45.83020572,2949.318822,0
112,1,1,63,3,32.54523709,3123.582427,0
113,1,3,47,10,139.4923588,2992.001168,0
114,2,1,89,8,10.99029018,2815.025339,0
115,2,1,101,0,53.68672756,2981.865333,0
