,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
52,2,1,98,6,21.726414729162467,1109.4011360900806,0
53,2,1,102,20,294.6439771050159,1060.3601595303971,0
54,2,1,100,9,367.927508384972,900.6016973567397,0
55,1,1,70,4,424.84405304399394,263.4264379983462,0
56,1,1,61,4,2.7045796465868066,739.2173764249444,0
57,1,1,62,10,162.47949878204466,1023.2049050188417,0
58,2,1,87,36,82.63670061245664,640.4487316518691,0
59,2,1,94,15,287.08184503034715,827.8378651773327,0
60,2,1,98,12,654.6765976616794,1404.598498388198,0
61,1,3,75,10,368.377777568442,2284.442289771085,0
62,1,1,55,2,198.41341279832093,2421.827628220414,0
63,1,1,41,8,106.98487728117387,2529.40846492604,0
64,2,1,77,4,78.8587132578179,2421.6390123643423,0
65,2,1,104,13,9.815483877004434,1840.0269235096619,0
66,2,1,98,20,297.38551189532296,391.68579162324477,0
67,1,1,66,15,78.51771400459003,865.815248440831,0
68,1,1,53,9,219.4422422835647,1584.5238948038516,0
69,1,3,47,11,160.09727398973422,2370.619596977404,0
70,2,1,71,7,64.52707042979284,2243.3507589295004,0
71,2,1,97,3,574.9451005488613,2562.9332082415795,0
72,2,1,95,4,296.1266275324957,2591.1066661451428,0
73,1,1,55,9,47.505610021464875,2370.675410651539,0
74,1,1,60,2,45.101702290091495,2475.995075118135,0
75,1,1,33,8,45.96265465220227,2476.0161397443544,0
76,2,1,77,0,10.078499839031721,1913.379677918618,0
77,2,1,107,20,315.5431899798943,603.0198420431425,0
78,2,1,96,11,413.01151282116876,995.588551781726,0
79,1,3,69,5,60.47917496014152,2083.505147769998,0
80,1,1,54,6,57.99949760197199,2746.5744912422438,0
81,1,1,33,10,39.51293838941558,2480.7362164841584,0
82,2,1,60,0,59.939175698767436,2481.1110221634676,0
83,2,1,90,9,102.60598459458652,2864.159959718506,0
84,2,1,91,0,413.69229304770323,2481.683421875201,0
85,1,1,72,9,440.4648315152489,2537.2351214717196,0
86,1,1,54,6,412.4078179359228,2426.8570961662795,0
87,1,3,53,3,396.2670223142528,2639.7376429721676,0
88,2,1,69,14,390.69547204962475,2657.912061329065,0
89,2,1,99,7,299.98260450944895,2389.6911148286986,0
90,2,1,99,13,309.1580972054366,2552.2352448701604,0
91,1,1,66,7,54.78012411149379,2582.468192005922,0
92,1,1,59,4,97.93026311784078,2427.4223663355265,0
93,1,1,46,7,234.38068548994423,2627.445395974087,0
94,2,1,77,12,332.44290509180325,1990.703215533787,0
95,2,1,103,22,552.359429159453,246.75481941530074,0
96,2,1,105,14,362.11494802595894,321.00565619402124,0
97,2,1,93,23,32.86002445104526,100.67344995947204,0
98,1,3,93,20,130.9868291107617,42.285064597158716,0
99,1,1,71,11,375.579349688278,103.41277711706108,0
100,1,1,76,20,13.770345623760633,82.19277732108814,0
101,2,1,100,20,137.99242425258072,330.35054008164224,0
102,2,1,101,20,257.39882549653214,806.5940522174935,0
103,2,1,100,14,315.5483647387113,269.2592607647288,0
104,1,1,81,19,32.524018491619465,436.18854798668553,0
105,1,1,87,11,25.622607525751125,87.319811292556,0
106,1,3,77,17,21.378694523809184,342.37304839724817,0
107,2,1,69,12,25.067447761420652,2614.7339528473917,0
108,2,1,85,6,3.037211390560935,2567.2150723106283,0
109,2,1,88,11,197.75058232062267,2327.8593787073733,0
110,1,1,63,2,343.6600335393564,2483.1526351337125,0
111,1,1,69,11,308.6749009204371,2704.821999496479,0
112,1,1,51,1,37.787446652702,2578.343214247869,0
113,2,1,87,8,46.80109728646301,2667.175257431621,0
114,2,1,105,20,333.4224951772181,2567.1762217268893,0
115,2,1,94,4,83.02165374725634,2503.9294023520115,0
116,1,3,74,7,99.5846517409474,2615.3631130505755,0
117,1,1,67,9,217.05618642657356,2440.4472294876236,0
118,1,1,49,3,58.278987280678,2374.025815450296,0
119,2,1,80,8,152.98642471457433,2567.843930776519,0
120,2,1,100,3,375.8431789619144,2546.758610712752,0
121,2,1,96,11,574.7809943210965,2464.6196914945667,0
122,1,1,67,9,39.74497666014807,2475.3653990871626,0
123,1,1,58,1,185.45236204570685,2612.149491519927,0
124,1,3,44,10,36.987980761117804,2024.430123828768,0
125,2,1,72,20,45.846624886006495,1210.5187536590222,0
126,2,1,100,22,253.7693854069081,1203.2223526299852,0
127,2,1,95,27,288.74959524470944,1348.4707468267245,0
128,1,3,60,21,15.064105959848492,2377.9877732989466,0
129,1,1,73,18,8.04216844013938,2228.182288421025,0
130,1,1,61,7,13.967912927202722,1465.0222536760482,0
131,2,1,92,12,266.4188906863608,1695.65210618644,0
132,2,1,107,17,340.2855559399999,1462.0834702715024,0
133,2,1,105,9,389.5151598966934,1488.8212638079513,0
134,1,1,70,19,89.88701649309647,882.7553022617044,0
135,1,1,53,12,175.99007866229204,992.2314122059911,0
136,1,3,45,9,42.05007293719716,1711.2540518840876,0
137,2,1,75,9,184.94247464508896,2070.141268757717,0
138,2,1,99,9,551.0386690126686,2229.6648762683253,0
139,2,1,96,2,310.6500686830011,2284.0793888657904,0
140,1,1,68,9,194.02884381038362,2423.145756726167,0
141,1,1,57,9,238.1969134534031,2143.5906865639895,0
142,1,1,40,10,43.939769200361376,2170.7334796503183,0
143,2,1,72,5,297.36541271047366,2385.9043987812347,0
144,2,1,84,5,81.24741836853558,2476.999402062116,0
145,2,1,82,13,22.57725355489403,2164.774192483374,0
146,1,3,69,15,63.061929129678646,2259.4824972717465,0
147,1,1,47,0,148.7071943106171,2475.607934918622,0
148,1,1,77,7,308.81102677213477,2594.819016859454,0
149,2,1,94,7,55.67436469263288,2255.5304143313533,0
150,2,1,101,10,194.50958331467928,2179.7115808823323,0
151,2,1,78,1,528.7542879831495,2386.2019992464648,0
152,1,1,76,7,289.7397440441708,2594.820187859268,0
153,1,1,77,10,54.06771364037289,2256.158824745285,0
154,1,3,50,4,52.837228234359564,2255.0625785125358,0
155,2,1,72,6,83.3528346770996,2513.970000133275,0
156,2,1,104,7,144.4144980732124,1781.306512496995,0
157,2,1,93,19,6.804594468983427,1552.6003866576448,0
158,1,1,65,18,179.63137784835772,1140.3478548550163,0
159,1,1,66,3,498.8998237884026,248.7459637136267,0
160,1,1,51,31,301.44302995020513,135.54182877830755,0
161,2,1,87,20,16.732331635249,710.0236183912613,0
162,2,1,104,4,176.20362223018375,999.3208424195419,0
163,2,1,102,13,143.65310357709689,1635.7645975139103,0
164,1,3,60,2,51.265541686660136,2027.226701747068,0
165,1,1,60,13,14.061878402248457,1840.5740845592534,0
166,1,1,45,11,60.52106407328698,277.61801975162604,0
167,2,1,63,9,83.72246096684786,467.7380394328569,0
168,2,1,72,13,59.542958974022184,2385.393080068422,0
169,2,1,71,20,1019.8844862820424,2885.7587231419993,0
170,1,3,54,8,63.77328394384304,2979.3630651191875,0
171,1,1,38,5,51.26124262228834,3074.414169937087,0
172,1,1,51,5,463.4351932188684,2979.863138457971,0
173,2,1,53,3,509.9304996424342,3046.0523973546387,0
