step_time,onnut_action,virtual_action,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual,teleport_number
54015.0,0,0,0,0,0.43800823503372194,0.0,0
54030.0,1,2,3,0,0.08986795203491303,0.0,0
54045.0,1,2,2,0,0.402961442225215,0.1010056341909942,0
54060.0,1,2,0,0,0.3920489370637704,0.2095035924779132,0
54075.0,1,2,0,0,0.04540707531879739,0.33140304710717183,0
54090.0,1,2,1,3,0.10875267058256688,0.2693553715513234,0
54105.0,1,2,0,9,0.4590879751355246,0.2506158909124401,0
54120.0,0,2,13,4,0.575057091192946,0.38738895771924153,0
54135.0,1,2,1,4,0.523881465547559,0.2614187582926097,0
54150.0,0,2,53,4,0.725164229564349,0.23084482455359762,0
54165.0,1,2,88,19,0.6865470363212653,0.2640503606934824,0
54180.0,1,0,100,22,1.1677577966883024,1.0687818648516714,0
54195.0,1,2,98,10,1.305400437831099,0.2304079419848708,0
54210.0,0,2,70,8,0.903022153366428,0.30091180178755533,0
54225.0,1,2,108,19,1.3575190071093466,0.2922185003784088,0
54240.0,0,2,82,17,0.8583001864622851,0.37781388369439434,0
54255.0,1,2,104,19,1.293129045178692,0.761147877829786,0
54270.0,0,2,74,34,0.8650339982235338,0.37332434227123745,0
54285.0,1,2,97,30,1.0923668397707151,0.2710751581637078,0
54300.0,0,2,89,26,7.914356751157997,1.4345640114224112,0
54315.0,1,2,84,18,1.1336794944278539,0.27254012323236504,0
54330.0,0,2,93,29,3.420133056521806,0.2019187639181418,0
54345.0,1,0,106,36,0.9704864794069221,0.4164280164719818,0
54360.0,1,0,110,18,151.23484944489758,571.095106428903,0
54375.0,0,0,81,18,0.6109050075006628,0.2710540142106662,0
54390.0,1,0,115,26,1.120743239045284,0.31531475171057083,0
54405.0,1,0,100,26,7.860336499047991,9.732005209616641,0
54420.0,0,0,78,25,337.52360695095666,3.214037399449953,0
54435.0,1,0,98,22,1.4314961347631712,1.1370133377007623,0
54450.0,0,0,85,27,1.8285196490732012,0.6706711680727138,0
54465.0,1,0,105,21,11.921296749185707,0.6295936649757373,1
54480.0,0,0,70,23,396.36537563221026,4.175220448533355,0
54495.0,1,0,103,17,229.3220096384981,0.6957534163023146,0
54510.0,0,2,112,21,227.80642855540123,0.49371094852834674,0
54525.0,1,2,111,21,222.02903239986006,0.36583665160846346,0
54540.0,0,2,94,9,302.73679698821337,179.4111505923968,0
54555.0,1,2,80,4,1.7007812516380258,0.318067982735041,0
54570.0,0,2,83,10,55.56455161775964,0.5320348469430111,0
54585.0,1,2,103,12,130.076501317098,0.8490055507081014,0
54600.0,1,2,98,13,31.922409650033856,598.484630902004,0
54615.0,1,2,93,11,3.1485415549341074,1.8983528159679395,0
54630.0,1,2,107,26,9.311023261960111,0.3415250529536749,0
54645.0,1,2,94,35,1.9610176071886227,0.4498241607384253,0
54660.0,1,0,79,28,33.70785282991621,163.40860041784083,0
54675.0,0,0,65,28,31.114295357542506,0.5734512590001822,0
54690.0,1,2,105,12,121.75619392744446,1.156109298185036,0
54705.0,1,2,102,23,6.837185472136003,168.55009891974962,0
54720.0,0,2,70,17,27.907392237712568,322.85034764271217,0
54735.0,1,2,92,23,1.7540808259830702,0.992112841047112,0
54750.0,0,2,65,26,2.337311414618005,0.44417889102259905,0
54765.0,1,2,104,35,154.43005492135543,0.48032591082390197,0
54780.0,0,2,78,22,22.864764657339133,111.99714573639065,0
