step_time,onnut_action,virtual_action,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual,teleport_number
54015.0,0,0,0,0,0.39917586288306717,0.0,0
54030.0,1,2,3,0,0.09500054658682558,0.0,0
54045.0,0,2,2,0,0.31701724424964006,0.11006983334686142,0
54060.0,1,2,0,0,0.39455251963134497,0.171714274792162,0
54075.0,0,2,0,0,0.05154863140674622,0.29013350819910994,0
54090.0,1,2,2,4,0.10497812001443207,0.27279369059863906,0
54105.0,0,2,0,7,0.42954574498029474,0.21954417751888308,0
54120.0,0,2,20,6,0.5999706103316194,0.31785576408835403,0
54135.0,1,2,3,3,0.5337558868506079,0.2758094817883598,0
54150.0,1,2,80,4,0.7625695284466257,0.24646637806762756,0
54165.0,0,2,70,19,0.6277652315904048,0.24267605313650376,0
54180.0,1,0,80,2,6.088907937302348,32.25996633599905,1
54195.0,1,2,92,15,0.8820425908268977,0.2973188699049719,0
54210.0,0,2,96,8,0.531588221238889,0.21289240085702155,0
54225.0,0,2,75,29,0.9544254809647428,0.29979438783854173,0
54240.0,1,2,86,21,0.8757688613962032,1.316737069156743,0
54255.0,1,2,94,25,0.9565227906483088,0.1961382035711771,0
54270.0,1,2,109,22,1.6533335305540349,0.33652504207422224,0
54285.0,0,2,88,19,0.8819215070815578,0.4155535210440195,0
54300.0,0,2,61,7,180.24000552423504,233.25922045721862,0
54315.0,1,2,112,9,0.9035839964469511,0.44229339455593775,0
54330.0,1,2,96,12,26.515162297797396,0.33795353472645706,0
54345.0,0,2,76,15,424.5335665542821,0.37272952818618926,0
54360.0,1,2,105,18,24.415313305583894,99.68088520801541,0
54375.0,1,2,100,11,2.6206379151748225,0.29828875437893887,0
54390.0,0,2,113,25,0.7742946808645907,0.31416181088915035,0
54405.0,1,2,108,29,26.59333409160916,0.411920228451592,0
54420.0,1,2,104,25,2.1436206349074345,1.9370960357899674,0
54435.0,1,2,84,24,168.07905999342634,0.3493555606117373,0
54450.0,0,0,91,28,177.1389694511205,0.39625173338109837,0
54465.0,1,0,114,30,166.76505993703856,0.350390966354545,0
54480.0,1,0,99,28,21.65147848841753,112.78968331472967,0
54495.0,1,0,97,31,5.102347062706894,0.29220354720112945,0
54510.0,0,0,85,37,21.608763782777974,0.2620462180494121,0
54525.0,1,0,107,24,389.0291494070925,0.2958156350548925,0
54540.0,1,0,107,17,102.93735480990911,224.79048832835912,0
54555.0,1,0,97,19,57.09799724851128,18.642714181080198,0
54570.0,0,0,90,17,208.91169611068645,287.991798518729,0
54585.0,1,0,103,13,158.79428873480902,244.83050433308412,0
54600.0,1,0,117,7,38.788296148500685,2.5669701983730797,0
54615.0,1,2,87,7,1110.636456929238,0.28649501299009184,0
54630.0,0,2,82,10,9.01932802682945,0.40860623292023746,0
54645.0,1,2,101,16,172.084328073099,0.39688756920407725,0
54660.0,1,2,101,20,150.61463040711743,157.07323607531168,0
54675.0,1,2,94,20,1000.6470065538318,0.31855617335687403,0
54690.0,1,2,93,28,127.61315856746918,5.469187270808777,0
54705.0,1,2,103,22,93.14803129673012,849.1784196249342,0
54720.0,1,2,95,19,249.856513453248,893.1472366075508,0
54735.0,1,2,99,16,846.3750120262112,740.9189107250485,0
54750.0,1,2,66,29,181.70175334897093,0.8940767513192012,0
54765.0,1,0,98,31,103.08218924545561,0.7781021592392543,0
54780.0,1,0,102,20,159.942484696048,426.08613302570234,0
54795.0,1,0,92,20,743.7210553531793,0.5143778900959346,0
54810.0,1,0,97,30,33.4976118385915,0.6674695890546313,0
54825.0,1,0,92,30,10.221641771260689,1.5476845743939973,0
54840.0,1,0,73,33,79.48608320938877,9.704560819747565,0
54855.0,1,0,48,29,841.685428455701,774.5249303779972,0
54870.0,1,0,63,15,214.27588856098615,719.5134792009133,0
54885.0,1,0,85,15,51.436068614775365,737.6324451830692,0
54900.0,1,0,42,14,132.5910342379123,3.8305681085562258,0
54915.0,1,0,30,10,784.1187993963752,3.0088217849469867,0
54930.0,1,0,50,11,156.10280674639264,0.9495749539877945,0
54945.0,1,0,94,20,136.39364078761383,0.7716094799767755,0
54960.0,1,0,103,15,148.35995764531876,124.74887695892527,0
54975.0,1,2,99,17,570.6468437729361,0.4408876811184487,0
54990.0,1,2,73,7,125.82462919482369,2.03447553360147,0
55005.0,1,2,124,8,44.08514747925854,1.053507455532716,0
55020.0,1,2,116,16,23.931135561426508,0.9526364401370868,0
55035.0,1,2,114,14,25.114961684989716,2.8373521743936725,0
55050.0,1,2,93,12,26.440096554439325,0.5682868513009546,0
55065.0,1,2,120,23,13.576979110957282,1.1853234617152961,0
55080.0,1,2,115,30,31.001214217198413,6.894932171762872,0
55095.0,1,2,92,30,528.9393690289206,190.0092402224061,0
55110.0,1,2,81,27,61.62514951389341,0.9924887618362077,0
55125.0,1,0,107,22,10.880938892066705,1.219454594223481,0
55140.0,1,0,99,17,51.49000826864369,545.6341702035419,0
55155.0,1,0,93,23,561.2318933745695,2.1054294213054225,0
55170.0,1,0,71,30,42.0264451514604,1.9944793541011447,0
55185.0,1,0,101,25,12.090782107963662,147.7932315296321,0
55200.0,1,0,97,22,70.4203707386892,201.32426033666235,0
55215.0,1,0,88,25,555.7430860018247,0.5335885475318263,0
55230.0,1,0,76,28,59.57700283943501,0.9793309512921023,0
55245.0,1,0,88,24,31.974263939655053,0.5669736402172293,0
55260.0,1,0,80,25,19.372167710581596,3.3083406554056123,0
55275.0,1,0,90,14,47.31475601791914,6.360554392523583,0
55290.0,0,2,76,10,21.999498894533005,4.630306807335239,1
55305.0,1,2,100,9,3.9219364194705753,1.545231332363714,0
55320.0,1,2,109,10,17.818668241459804,0.6994372558790147,0
55335.0,1,2,106,17,680.9049859214317,0.7053378055060802,0
55350.0,1,2,93,21,147.51514724816732,1.293604018672256,0
55365.0,1,2,97,26,132.54208948520994,2.072289877540782,0
55380.0,1,2,95,18,23.584770541918736,27.80192963747101,0
55395.0,1,2,97,23,556.2868518499171,466.69478594807015,0
55410.0,1,2,79,23,21.61744973079412,775.6259076301598,0
55425.0,1,2,120,27,12.8483349620643,8.511404968180615,0
55440.0,1,0,96,24,29.061442167007417,1.1928480133154642,0
55455.0,1,0,90,27,548.4638085922928,1.2694262245519399,0
55470.0,0,0,90,22,38.61393559190374,4.66448690742135,0
55485.0,1,0,108,32,11.446236590501812,11.870350870836411,0
55500.0,1,2,121,16,125.98897731478665,4.816048965963811,0
55515.0,1,2,111,13,529.4616180068617,5.561158823764637,0
55530.0,0,2,79,29,26.088859122093197,4.497979697670748,0
55545.0,1,2,112,37,14.541269312710709,5.443487972714065,0
55560.0,1,2,119,25,65.87725310423433,6.408084443180387,0
55575.0,0,2,92,29,7.460514265429284,3.4360206552644788,0
55590.0,1,2,123,29,7.227065337897346,1.716477264522125,0
55605.0,0,2,112,30,4.480780125924432,2.4185090040114012,0
55620.0,1,2,121,19,4.153494920215286,6.730678255335995,0
55635.0,1,2,98,14,37.62556872087823,3.8326011036877414,0
55650.0,0,2,101,29,6.126931443898147,16.08577016635487,0
55665.0,1,2,115,26,4.226767277654121,2.389618669031494,0
55680.0,1,2,121,28,78.69489488661053,54.11055372471945,0
55695.0,1,2,101,27,557.0603285359373,2.1875134011236694,0
55710.0,0,2,109,28,65.4337611243832,1.7637748622228973,0
55725.0,1,2,123,27,5.090747344527611,1.449590403524893,0
55740.0,1,2,115,30,39.6083899377239,432.08487966473257,0
55755.0,1,2,95,28,573.8894154815825,50.16180602203738,0
55770.0,0,0,99,38,93.63308367363216,93.39299751894028,0
55785.0,1,0,110,34,6.347398353061622,12.980903632010977,0
55800.0,1,0,109,31,17.782604047018896,7.561844226579477,0
55815.0,1,0,96,29,819.5405461732739,1.4974201956097253,0
55830.0,0,0,104,24,92.36027866238432,1.4029690663024192,0
55845.0,1,0,122,23,6.020392727663853,4.360082188564296,0
55860.0,1,0,113,26,29.932684216217982,18.40074498263,0
55875.0,1,0,95,24,537.8971836400711,75.49104756324914,0
55890.0,0,0,99,25,105.8530524603779,78.42123504150196,0
55905.0,1,0,121,22,15.71299233906907,68.19611390488419,0
55920.0,1,0,110,14,30.814332131192895,52.81908372137568,0
55935.0,1,2,92,17,701.5328429521446,2.561017888711393,0
55950.0,0,2,87,21,35.440259266082684,2.2618985185630676,0
55965.0,1,2,106,31,19.405459605522495,5.7724466876729785,0
55980.0,0,2,107,27,133.01844710800296,24.741151552777488,0
55995.0,1,2,102,28,9.407555454968922,13.362550596604342,0
56010.0,0,2,104,31,29.033500522508206,12.56921444264401,0
56025.0,1,2,132,24,75.14274139436111,2.8081968020621026,0
56040.0,0,2,111,22,332.20544181904,3.5419412915867925,0
56055.0,1,2,111,24,295.8413505036234,39.18043249208391,0
56070.0,0,2,107,25,291.1624251222585,107.34534913732692,0
56085.0,1,0,100,24,117.74286281014679,119.26730857796503,0
56100.0,1,0,110,28,101.01252426750862,114.36721885202383,0
56115.0,1,0,34,16,650.1446335479919,128.6045084436296,0
56130.0,0,0,106,22,195.91160492937877,146.9650726749824,0
56145.0,1,0,128,26,283.24396870226747,171.47881136846297,0
56160.0,1,0,78,24,400.66424020998977,159.34670128378866,0
56175.0,1,0,45,25,894.3635083813728,176.1104422372677,0
56190.0,0,0,97,20,354.6908847583327,205.44672883801462,0
56205.0,1,0,117,21,345.7122065596764,181.3316566542971,0
56220.0,1,0,113,29,395.1469204795694,258.8898621163127,0
56235.0,1,0,50,15,870.0720813154168,1.7120047901860702,0
56250.0,1,0,79,17,351.04820905739194,0.7078635344073589,0
56265.0,1,0,94,15,342.76359551954744,0.6970621250312725,0
56280.0,1,0,79,9,138.69446511917877,80.91438847105057,0
56295.0,1,2,75,18,580.2676031608522,2.680350293743669,0
56310.0,1,2,77,32,28.22041028788948,0.988604801212799,0
56325.0,1,2,88,35,225.27792686131556,0.7924823514606032,0
56340.0,0,2,72,27,26.047777236089424,60.30843495043864,0
56355.0,1,2,78,35,11.854884984453033,1.597415265183325,0
56370.0,1,2,67,40,59.733622188933985,2.4676876826321457,0
56385.0,1,2,80,24,508.32274197125867,0.585043126525512,0
56400.0,1,2,95,33,69.048252946025,107.86416517551248,0
56415.0,1,2,104,34,11.621408991470974,2.0638932899140814,0
56430.0,1,2,101,30,27.7026361070119,445.01704411634773,0
56445.0,1,0,96,30,508.32736454566435,560.0741705527217,0
56460.0,1,0,59,30,286.1835674533579,550.5334577496018,0
56475.0,1,0,88,30,38.588601520029,550.5346978090421,0
56490.0,1,0,96,30,39.74387242813062,550.534698741342,0
56505.0,1,0,96,30,515.2313046499715,550.534698741342,0
56520.0,1,0,84,30,208.02888616541708,550.534698741342,0
56535.0,1,0,117,30,295.5136976807948,560.1899302792618,0
56550.0,1,0,101,27,144.3163055145111,140.0030032586787,0
56565.0,1,0,47,27,622.5611574483353,146.30536571461542,0
56580.0,1,0,64,23,198.43313699104525,133.3235497699418,0
56595.0,1,0,104,17,175.83568653441523,211.5626958587709,0
56610.0,1,0,83,10,234.4676224988635,83.4805423338789,0
56625.0,1,0,51,11,695.0733503370394,91.74882682392561,0
56640.0,1,0,75,21,202.9060704448159,154.88514767469118,1
56655.0,1,0,112,19,202.05249869312405,1.2530977305226751,0
56670.0,1,0,54,22,239.81017533054023,1.1344863156567253,0
56685.0,1,0,79,22,626.8074044040949,1.938593176085338,0
56700.0,1,0,75,21,219.42266783989487,96.53140344366464,0
56715.0,1,0,96,16,49.33216953513987,413.7076253906562,0
56730.0,1,0,97,11,140.70863766515672,1099.4093448762812,0
56745.0,1,0,95,10,652.8487958250954,1064.5213435176504,0
56760.0,1,0,72,4,90.94819880347418,1176.360347113277,0
56775.0,1,0,74,5,18.636730136919812,1136.726760051888,0
56790.0,1,0,83,7,67.03211804589166,1136.6645283778957,0
56805.0,1,0,85,7,588.8031689584981,1099.4087338735144,0
56820.0,1,0,67,7,51.12393142262056,1099.5589430676291,0
56835.0,1,0,81,6,13.371823212836375,1117.751257261393,0
56850.0,1,0,92,6,21.421341955000507,1136.6721146265108,0
56865.0,0,0,92,13,14.094691838282172,4.113151786016123,0
56880.0,1,0,97,16,34.36300491889967,99.36223382855374,0
56895.0,1,0,95,13,90.65144457520496,2.280119454692803,0
56910.0,1,0,111,13,561.008819922615,2.2088304758699024,0
56925.0,1,2,87,23,27.053962853677326,0.8269567401456378,0
56940.0,1,2,97,10,9.630418410894265,1.4056384797035688,0
56955.0,1,2,96,21,22.164433874133497,2.282487860111232,0
56970.0,0,2,87,29,12.278358538994473,18.73847093522824,0
56985.0,1,2,105,30,74.42006852458184,17.256333668435744,0
57000.0,1,2,109,25,46.38804907745285,1.8249707140013656,0
57015.0,1,2,111,27,653.0031422059592,0.9361040399935445,0
57030.0,0,2,87,32,20.42042639891897,2.368830596089894,0
57045.0,1,1,108,31,96.93749574270798,0.8641103014373528,0
57060.0,1,1,104,12,166.82061677534335,100.7172625507403,0
57075.0,1,1,110,17,493.6100495304519,3.0978807902742176,0
57090.0,1,2,81,17,19.755208755554822,10.822392198555518,0
57105.0,1,2,102,17,104.7799879863058,2.914867478937581,0
57120.0,1,2,109,28,119.72573085085493,0.7844976247771458,0
57135.0,1,2,97,28,496.000699842661,0.6351453399579071,0
57150.0,1,2,88,36,23.660355793244936,0.7599318106542363,0
57165.0,1,2,103,35,11.759535557432706,0.686920303700846,0
57180.0,1,2,109,26,79.79724493474973,7.567305507407186,0
57195.0,1,2,115,28,506.45039806367066,2.78408335935031,0
57210.0,0,2,92,34,21.88614951100784,2.1643659338728276,0
57225.0,1,2,84,32,7.40344555442096,0.7688405516603155,0
57240.0,1,0,79,27,49.59308823702816,79.72416155463162,0
57255.0,1,0,78,32,579.5049772872587,0.5753703604623076,0
57270.0,0,0,105,36,32.23170913476503,1.556984988445289,0
