step_time,onnut_action,virtual_action,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual,teleport_number
54015.0,0,0,0,0,0.43645145309883354,0.0,0
54030.0,0,2,12,0,0.6836375204638655,0.0,0
54045.0,0,2,32,0,0.6990094849072728,0.09450371095086903,0
54060.0,0,2,30,0,0.6925941924646029,0.17080203467135746,0
54075.0,0,2,30,0,0.5307040439473767,0.284103421538348,0
54090.0,0,2,31,2,0.5532776638319913,0.25115788877118655,0
54105.0,0,2,23,6,0.420296255302392,0.2846492887121094,0
54120.0,0,2,12,5,0.5971823155242045,0.3476636459726041,0
54135.0,0,2,16,4,0.5153931780367093,0.2565724510947557,0
54150.0,0,2,49,4,0.6144919155562121,0.24505839603816276,0
54165.0,0,2,56,10,1.0098457188876164,0.3411607930459191,0
54180.0,0,0,69,8,9.858509016681412,0.3794352207145302,0
54195.0,1,2,105,21,0.6389107577846266,0.3128550036816643,0
54210.0,0,2,77,28,12.479526790445343,0.34664872081250214,0
54225.0,0,2,49,32,1.0025922207978433,0.2528912550028167,0
54240.0,0,2,46,23,741.4899195354716,0.5424660834667343,0
54255.0,1,2,78,29,0.7458315136062317,0.21889947557558792,0
54270.0,0,2,73,26,1.6376050945584195,0.3425664260299951,0
54285.0,1,2,95,23,11.779081246037586,0.25101429755318727,0
54300.0,0,2,73,27,2.2374533381376556,0.7202879621919177,0
54315.0,1,2,90,28,1.9632340072188168,6.217558743535972,0
54330.0,0,2,66,36,12.81323318249014,0.578767986071424,0
54345.0,1,0,98,30,20.297606307527072,83.64997889502531,0
54360.0,0,0,51,30,343.18845162938123,197.77138123431922,0
54375.0,1,0,74,30,53.64190042800644,188.66605806526564,0
54390.0,0,0,76,27,95.89333557188363,180.08694063906705,0
54405.0,1,0,63,24,53.61996745582799,183.72354570308428,0
54420.0,0,0,66,24,257.0630400078346,242.53701079232758,0
54435.0,1,2,71,30,236.87947139816538,179.83237781210207,0
54450.0,0,2,73,23,206.7960646382692,116.4930011961711,0
54465.0,1,2,78,32,433.83106054612097,0.4967143920558044,0
54480.0,0,2,64,21,397.15699111972083,0.8407837635593298,0
54495.0,1,2,99,33,372.2319161847704,0.9694332923910196,0
54510.0,0,2,75,41,9.784645890471587,0.9275554782635839,0
54525.0,1,2,100,32,16.016066241066145,4.6833870413342344,0
54540.0,1,2,102,18,197.57391276462164,759.4201801965819,0
54555.0,1,2,101,30,442.90333289916055,2.1765396278494484,0
54570.0,0,2,70,29,407.24545419744067,1.8861594855440578,0
54585.0,1,0,103,18,203.7387808011813,1.6254644470478683,0
54600.0,1,0,97,25,28.426471868134687,219.18403053054658,0
54615.0,0,0,71,28,58.92676787884986,339.6953066208637,0
54630.0,1,0,93,30,29.48364326066315,281.88397067098,0
54645.0,0,0,83,30,51.82947880442412,140.94507833881352,0
54660.0,1,0,93,25,379.55570920010405,135.088984109844,0
54675.0,0,2,48,28,398.9650577591137,407.24262041892223,0
54690.0,1,2,95,21,420.11506634234473,9.455045567170773,0
54705.0,1,2,97,28,390.7821213725682,6.477808962018386,0
54720.0,1,2,91,18,391.894127869468,105.58826092443731,0
54735.0,0,2,65,21,362.5535420310356,105.92254274029102,0
54750.0,1,2,98,22,361.1000289718958,743.9253518199054,0
54765.0,1,2,103,21,344.4410430943827,1257.7600511472099,0
54780.0,0,2,66,16,354.18401706745897,1380.5219770308843,0
54795.0,1,2,93,19,319.3318479838867,1451.2720330936831,0
54810.0,1,2,98,23,5.492366283920029,1414.974129470038,0
54825.0,0,0,64,21,2.363899605055242,1286.349090725045,0
54840.0,1,0,90,16,94.923475948653,1487.3441729118838,0
54855.0,0,0,63,16,232.38263296644413,1489.7026680528907,0
54870.0,1,0,95,15,241.9024263245105,1489.4174991241516,0
54885.0,1,0,95,15,105.48242953580544,1489.4212267008743,0
54900.0,0,0,63,15,15.54623665973378,1489.4212288280094,0
54915.0,1,0,87,15,120.49240446156315,1489.4212288280094,0
54930.0,0,0,58,15,175.51155171735385,1489.4212288280094,0
54945.0,1,0,67,15,177.64463068252164,1489.4212288280094,0
54960.0,0,0,55,12,173.86505046470947,826.2530418197084,0
54975.0,1,0,88,13,179.6464921916449,661.7632411696225,0
54990.0,0,2,66,13,166.90679147687084,238.21923019736164,0
55005.0,1,2,91,12,178.3869965748895,705.8555776390846,0
55020.0,0,2,62,0,174.71824712436708,1757.2844810076947,0
55035.0,1,2,96,6,181.3187473808871,1804.7207120982905,0
55050.0,0,2,60,7,181.67188775643646,1182.5646441983888,0
55065.0,1,2,91,4,183.9221111871805,1280.4240246606466,0
55080.0,0,2,67,18,204.42764690446194,1969.8315567714885,0
55095.0,1,2,74,16,190.36770018108194,1773.8732537502772,0
55110.0,0,2,56,19,187.79961677290066,993.0547261384949,0
55125.0,1,2,101,15,203.4836991666637,1410.9673322081578,0
55140.0,0,0,65,15,185.44725718216603,1522.3366981167824,0
55155.0,1,0,87,15,206.16225304208064,1522.3366981167824,0
55170.0,0,0,64,15,199.0731045930395,1522.3366981167824,0
55185.0,1,0,82,15,202.59614171129434,1522.3366981167824,0
55200.0,0,0,62,15,196.26939008041754,1522.3366981167824,0
55215.0,1,0,73,15,216.17689013968825,1522.3366981167824,0
55230.0,0,0,63,15,191.69820239759278,1522.3366981167824,0
55245.0,1,0,78,15,194.44094391335398,1522.3366981167824,0
55260.0,0,0,63,15,187.5346376015405,1522.3366981167824,0
55275.0,1,0,83,16,206.67652723859135,635.4776080716621,0
55290.0,0,0,65,27,185.1589827602044,127.69707278268334,0
55305.0,1,2,89,26,172.56720669033933,1094.4051973762807,0
55320.0,0,2,69,5,187.42748822525402,1690.5462662944813,0
55335.0,1,2,87,7,156.03638955475483,1606.4012629390577,0
55350.0,0,2,51,24,3.952127412761474,1565.1227016533396,0
55365.0,1,2,75,27,164.9481066104117,1327.0056363982185,0
55380.0,0,2,49,15,166.44133456814163,1527.7505959099851,0
55395.0,1,2,65,20,170.6004739234183,1649.7507258450498,0
55410.0,0,2,57,23,168.14120084130545,1565.1196210926141,0
55425.0,1,2,72,26,168.72390748937173,1488.7905692515642,0
55440.0,0,2,70,15,165.66285074399912,1565.4122885565876,0
55455.0,1,0,87,18,16.921694369350337,1755.4440052538419,0
55470.0,0,0,60,25,2.8561700530151968,1565.1189911419149,0
55485.0,1,0,80,25,2.640697605369364,1356.479490445797,0
55500.0,0,0,98,17,27.7748751169071,1535.8887658998503,0
55515.0,1,0,89,18,117.57278175403891,793.5003055757226,0
55530.0,0,0,84,26,259.67053602643745,1029.5051143796206,0
55545.0,1,0,89,22,20.3979533667571,1358.8435983610907,0
55560.0,0,0,62,18,41.160421025942604,1601.1936662151318,0
55575.0,1,0,100,17,3.806004980369468,1647.138686536661,0
55590.0,0,0,63,17,15.663182294985175,1509.7909571420664,0
55605.0,1,0,94,9,313.6758544493954,1430.517817435832,0
55620.0,0,2,76,5,104.309480355999,1646.0204452654011,0
55635.0,1,2,101,7,16.391484906124898,799.9842850114875,0
55650.0,0,2,92,31,2.3705616460597265,0.4300487876458482,0
55665.0,1,2,127,32,3.4668734318800922,19.437840458079148,1
55680.0,0,2,68,18,123.77608082561228,272.7770743014737,0
55695.0,1,2,119,15,385.93164431460997,123.97755877457267,0
55710.0,0,2,90,15,185.1771447361892,521.925313755333,0
55725.0,1,2,109,15,12.814543004958738,811.9948945515592,0
55740.0,0,2,71,15,83.54937682597931,1005.525902858004,0
55755.0,1,2,94,15,434.8402984989545,1005.525902858004,0
55770.0,0,0,57,15,589.1974430458192,1005.525902858004,0
55785.0,1,0,97,15,427.8859543527965,1005.525902858004,0
55800.0,0,0,65,15,416.76513753406124,1005.525902858004,0
55815.0,1,0,97,15,426.87860349353963,1005.525902858004,0
55830.0,0,0,68,15,414.0212842499978,1005.525902858004,0
55845.0,1,0,95,15,418.9486309156182,1005.525902858004,0
55860.0,0,0,59,15,406.4342053987196,1005.525902858004,0
55875.0,1,0,88,15,415.0309201301541,1005.525902858004,0
55890.0,0,0,61,15,407.04268757853356,1005.525902858004,0
55905.0,1,0,91,12,406.1125664199512,1005.5075852780421,0
55920.0,0,0,58,5,421.43207770445423,284.4660087099977,0
55935.0,1,2,56,4,425.5223210467372,197.09727576407724,0
55950.0,0,2,42,9,412.8311456049361,445.9775945098438,0
55965.0,1,2,56,8,398.05898120728284,412.5827424735414,0
55980.0,0,2,52,0,413.7504452986791,439.2052881162624,0
55995.0,1,2,64,3,2895.0892435578485,471.87578206502246,0
56010.0,0,2,60,10,372.0218164984848,98.50168464300498,0
56025.0,1,2,91,11,19.282527883124768,475.1657056694492,0
56040.0,0,2,79,0,124.7140277012736,533.312684444728,0
56055.0,1,2,109,4,140.8023967045933,533.4661198151184,0
56070.0,0,2,73,12,42.214016893301796,502.5440471391341,0
56085.0,1,0,85,8,30.954169785801312,466.6718451199017,0
56100.0,0,2,68,10,110.13842737513829,603.8205724538642,0
56115.0,1,2,92,6,302.7276824756322,533.4650855176363,0
56130.0,0,2,74,12,297.9650001571831,493.06070118149074,0
56145.0,1,2,98,23,289.3653784428934,458.47847087634875,0
56160.0,0,2,80,16,28.86371150044357,592.6376625471565,0
56175.0,1,2,86,18,5.064694407411316,502.53959786168696,0
56190.0,0,2,64,15,8.482485673348613,512.3987907075867,0
56205.0,1,2,81,15,973.9679610278187,512.3999332139849,0
56220.0,0,2,63,15,777.353415763822,512.3999548271432,0
56235.0,1,2,73,15,1099.8521172703322,512.3999548271432,0
56250.0,0,0,54,15,584.6417157308156,512.3999548271432,0
56265.0,1,0,50,15,798.8059795684258,512.3999548271432,0
56280.0,0,0,47,15,182.5834915899544,512.3999548271432,0
56295.0,1,0,72,15,181.93568269457438,512.3999548271432,0
56310.0,0,0,76,15,178.55875027299038,512.3999548271432,0
56325.0,1,0,79,15,228.6123784308599,512.3999548271432,0
56340.0,0,0,55,15,2376.4401899054933,512.3999548271432,0
56355.0,1,0,45,15,2851.173933279063,512.3999548271432,0
56370.0,0,0,55,15,2804.464252802137,512.3999548271432,0
56385.0,1,0,59,18,3158.984253815969,512.3974483134228,0
56400.0,0,0,52,8,3163.0727815985633,522.6337494376314,0
56415.0,1,2,15,3,6541.321434109986,512.3856304641229,0
56430.0,0,2,15,16,6474.744071436323,493.0650284759667,0
56445.0,1,2,24,22,3177.7130048570825,450.5911845291025,0
56460.0,0,2,26,20,3117.4833544479548,571.4816850813544,0
56475.0,1,2,63,21,3144.996185583572,475.1436856540977,0
56490.0,1,2,68,25,3204.798985694024,483.94452475656914,0
56505.0,0,2,50,19,3227.9994444269782,450.63013860190284,0
56520.0,1,2,67,15,3279.0038145951644,577.8035873076135,0
56535.0,1,2,65,15,3323.4503072884354,522.6520128652289,0
56550.0,0,2,64,15,2607.6621967724677,512.3999548271432,0
56565.0,1,0,100,15,2431.3637133838793,433.50645955674963,0
56580.0,1,0,92,15,2911.916495678784,379.64461561203467,1
56595.0,0,0,39,19,2590.0929332706614,2.5896897541485466,2
56610.0,1,2,26,28,2985.818178498033,2.5604247706006005,2
56625.0,1,2,18,19,3186.629322605505,0.8405790590169475,0
56640.0,0,2,45,24,2856.075786737066,1.6750952335132403,0
56655.0,1,2,58,28,2388.812469878596,651.0467869549938,0
56670.0,1,2,47,24,2339.5713090467543,36.349620193607485,1
56685.0,1,2,25,22,566.9629052683755,429.7985248110809,0
56700.0,0,2,45,21,2921.6131241033777,490.45197080190354,1
56715.0,1,2,61,25,2578.359469781195,1.3969260064320952,1
56730.0,1,2,72,24,2537.784477482583,0.6483589499151508,0
56745.0,1,2,74,23,2570.083641016746,1.6533142417292275,0
56760.0,1,2,63,10,2851.486483165986,11.790244712265288,0
56775.0,1,2,68,4,2596.4811686689036,8.418333174941194,0
56790.0,1,2,74,15,2482.9037682727226,144.6259531289308,0
56805.0,1,2,53,21,2673.307657336867,250.28503272432508,0
56820.0,1,2,55,14,2754.3663211790185,402.8193293904999,0
56835.0,1,2,62,18,2579.0829536265614,6.279168995511284,0
56850.0,1,0,69,24,2685.779699815017,308.02167705539443,0
56865.0,1,2,71,25,2752.413120792315,705.594804641232,0
56880.0,1,2,66,2,2235.5923603255333,689.6017702131295,1
56895.0,1,2,79,4,2587.384042818008,636.8002215298304,0
56910.0,1,2,78,12,2392.4564497504753,333.9191248203137,0
56925.0,0,2,62,13,2579.9535274259347,547.8800661631619,0
56940.0,1,2,82,2,2167.4763399892736,1867.2942514773051,0
56955.0,0,2,49,8,2554.230135315656,2285.1533704534318,0
56970.0,1,2,90,24,2252.640534067801,2696.694229719695,0
56985.0,1,2,116,39,2235.0494061727377,2467.979343578539,0
57000.0,0,2,74,25,72.04970015072415,2868.1287287420905,1
57015.0,1,0,89,19,37.98095833360747,2878.278827796359,0
57030.0,1,2,93,18,55.03203907892678,2901.7559374783373,0
57045.0,0,2,57,7,30.18701304763757,2787.5263715129095,0
57060.0,1,2,107,4,57.67383151363138,2879.0821108537734,0
57075.0,0,2,78,1,37.88416154535653,2926.2051128466114,0
57090.0,1,2,108,10,142.92778898124018,2901.757451034059,0
57105.0,1,2,119,8,30.6564908154011,2787.5272115308794,0
57120.0,0,2,67,3,50.685914443713244,2879.0826758202015,0
57135.0,1,2,108,3,29.916497829986966,2950.125788555486,0
57150.0,1,2,111,14,32.308720357157355,2878.168927760459,0
57165.0,0,2,73,8,53.076996263113976,2744.3163670197664,0
57180.0,1,0,106,2,320.4370352790005,2879.0805765630867,0
57195.0,1,2,114,7,405.64145829538575,2901.7539604126723,0
57210.0,0,2,73,10,125.08051817369872,2809.648857351537,0
57225.0,1,2,104,7,134.0517014811444,2765.7515391123416,1
57240.0,1,2,115,12,75.2452042673968,2811.609308240922,0
57255.0,0,2,81,16,113.78457164814179,2878.3214895779997,0
57270.0,1,2,102,23,32.98025176719002,2854.9614502823,0
57285.0,1,2,117,25,131.12322052971547,2765.7551679352496,0
57300.0,0,2,71,18,63.428227620339904,2878.629551384085,0
57315.0,1,2,101,18,460.33694985620025,2854.9681125235406,0
57330.0,1,2,105,24,2269.7413960366234,2832.127040436332,0
57345.0,1,0,78,26,2770.074147351487,2723.205489315932,0
57360.0,0,0,78,19,2928.9725417331947,2848.4688347550036,0
57375.0,1,2,104,5,3008.4663250044587,2881.1523163138463,0
57390.0,1,2,95,9,3298.489238603754,2901.7558597467237,0
57405.0,1,2,87,9,3154.474112628692,2765.755582746373,0
57420.0,0,2,66,5,2996.6438505264096,2856.23542441034,0
57435.0,1,2,64,5,2906.2920423265446,2878.172781202256,0
57450.0,1,2,68,10,2991.666358054702,2854.957598507218,0
57465.0,1,2,65,10,3018.191705756603,2765.757726967297,0
57480.0,0,2,58,2,2767.676851524296,2871.2567445886343,0
57495.0,1,2,81,6,2296.2076424886077,2901.752881611025,0
57510.0,0,2,87,9,2306.5172236076205,2815.69112465449,0
57525.0,1,0,88,15,2357.175327954604,2557.7875577099508,0
57540.0,0,0,116,15,2402.850579927977,1515.3390419957966,0
57555.0,1,2,109,24,2537.62406327002,1399.4525927141635,0
57570.0,1,2,102,35,2806.821459567019,2600.411909706005,0
57585.0,0,2,63,34,2607.6821350816467,2591.270192861282,0
57600.0,1,2,86,24,2578.712880790773,1362.5649480395507,0
57615.0,1,2,86,27,2591.8980009703632,86.92897867073822,1
57630.0,0,2,74,17,2305.6300629564334,64.68398094772624,0
57645.0,1,2,92,24,181.48349492576173,18.779763558098487,0
57660.0,1,2,44,27,153.21333223340827,1.5829538824258838,0
57675.0,1,2,15,23,257.27947059344194,2.0913046405579134,0
57690.0,0,2,58,25,333.1854470876086,267.96665738133265,0
57705.0,1,0,71,30,65.88028540479091,1575.0372109235495,0
57720.0,1,0,64,45,177.9159396660192,558.1454654819223,0
57735.0,0,2,70,16,170.2698473933786,2159.4061211247945,0
57750.0,1,2,101,45,92.78452073272736,2603.360810756192,0
57765.0,0,2,82,27,38.2157937475254,2133.1788373599124,0
57780.0,1,2,95,27,158.18663881775433,145.91253625820204,0
57795.0,1,2,101,26,160.24653220732012,53.611264227661295,0
57810.0,1,2,97,29,212.64752337196742,280.65833792088614,0
57825.0,0,2,62,30,27.221315627923868,370.42057254354194,0
57840.0,1,2,78,29,92.51044353123714,1742.9542562252157,0
57855.0,0,2,49,30,41.11247200457015,1975.1698189601793,0
57870.0,1,2,87,28,207.2580989601253,2549.7002307284056,0
57885.0,0,0,71,30,230.4562462379242,2530.0013578107933,0
57900.0,1,2,84,31,275.29671528709525,2493.2046892817602,0
57915.0,1,2,75,32,355.4145983420437,2598.009821568982,0
57930.0,0,2,50,34,246.6019027180522,2437.1474826951467,0
57945.0,1,2,65,39,233.62062777372225,1357.8459944483523,0
57960.0,1,2,62,26,249.34671337570117,107.0641392265756,0
57975.0,1,2,66,25,323.9343999903219,7.199040647334291,0
57990.0,1,2,57,26,11.91436112703751,5.0997308533240595,0
58005.0,1,2,70,27,69.96754264213004,1.601714679563657,0
58020.0,1,2,30,25,633.9189162459559,216.08981571654408,0
58035.0,1,2,24,27,547.6350341249172,104.84364598387923,0
58050.0,1,0,34,30,421.03102004424335,201.95426470648286,0
58065.0,1,0,58,25,482.3572304541554,1576.8549163485836,0
58080.0,1,2,51,17,602.1358532216698,2665.9090213345758,0
58095.0,1,2,15,23,666.1127375655088,2573.993843753139,0
58110.0,0,2,41,25,554.6495814757179,2427.519534882988,0
58125.0,1,2,63,27,537.6552987074006,2447.416238950427,0
58140.0,1,2,71,21,417.82685129015135,2516.1548671621754,0
58155.0,1,2,65,20,505.8632596223727,2596.3792550303488,1
58170.0,0,2,45,26,570.6714020253329,2573.992061626868,0
58185.0,1,2,69,23,576.7278115084129,2488.2044735075783,0
58200.0,1,2,87,15,432.1351531510437,2593.8082734572317,0
58215.0,1,2,87,20,432.08931723167905,2619.2296772533,0
58230.0,0,0,65,22,425.7685714963232,2551.9953154807727,1
58245.0,1,2,108,10,43.68980764714116,2530.381870852603,1
58260.0,0,2,98,0,52.711980083780055,2685.5796336267995,0
58275.0,1,2,110,9,2.440908778410792,2313.1894544210522,0
58290.0,0,2,63,18,2.2730390363482127,2334.528566593751,0
58305.0,1,2,76,15,85.68907542618975,29.185550719959895,0
58320.0,0,2,76,16,104.09494807982578,70.57803029115333,0
58335.0,1,2,83,14,186.202629338889,1.9060228979008156,0
58350.0,0,2,107,19,183.7584279586117,16.80223285558824,0
58365.0,1,2,77,18,106.37758060398424,15.574998857826067,0
58380.0,1,2,88,9,1033.914721428275,7.461872912920599,0
58395.0,0,0,78,14,1097.35214296321,5.185361491754779,0
58410.0,1,2,78,25,920.9056420595483,1.9018812284705875,0
58425.0,0,2,85,23,973.5416832724053,13.927085350729868,0
58440.0,1,2,83,11,968.4971458687057,72.77734039480096,0
58455.0,0,2,83,14,1002.92923312181,21.670251895279232,0
