step_time,onnut_action,virtual_action,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual,teleport_number
54015.0,0,0,0,0,0.44531748133113175,0.0,0
54030.0,0,2,11,0,0.6891043583686838,0.0,0
54045.0,0,2,32,0,0.7025240184046657,0.10768321156609287,0
54060.0,1,1,2,0,0.3078238261549213,0.16863009264220802,0
54075.0,0,1,0,0,0.39412092919342856,0.3337689897486377,0
54090.0,1,1,2,5,0.10357465766948235,0.3486198640424398,0
54105.0,0,0,0,7,0.4909111069412879,0.22400159670347114,0
54120.0,1,2,2,9,0.5769093257303021,0.30453776504516183,0
54135.0,0,2,1,2,0.5115812242239817,0.3013916406391568,0
54150.0,0,1,48,7,1.0797655569291384,0.45900186707856083,0
54165.0,1,0,77,15,0.6927445372441328,0.4273357389818393,0
54180.0,0,1,69,13,144.29166619676852,3.2269858666394247,0
54195.0,1,1,89,10,0.7712126287626625,0.4994307963102095,0
54210.0,0,1,92,11,0.7298887429556631,0.33114193668989134,1
54225.0,1,0,98,16,0.6700042972061577,0.2788020013706166,0
54240.0,0,1,44,15,0.6602720412906692,0.4071712483704939,0
54255.0,0,1,34,15,0.6571077599736996,0.29632510722400596,0
54270.0,1,1,93,19,0.751965951527667,0.29273988042556176,0
54285.0,0,1,70,21,0.637655521840637,0.7028041290367246,0
54300.0,1,1,92,11,0.7233807765979333,0.4950648775495197,0
54315.0,1,2,98,15,25.237081406603625,0.34244026291236834,0
54330.0,1,2,103,33,324.20902104931446,2.6053731200207877,0
54345.0,0,1,79,25,1.0918673679831503,2.06314111290846,0
54360.0,1,1,91,11,1.729520362521987,3.1839625856530827,0
54375.0,0,2,64,18,0.7124706836309955,1.5231618097577313,0
54390.0,0,2,81,10,5.992883024123184,0.39861205827278157,0
54405.0,0,1,65,17,177.572006139051,0.3711184372469102,0
54420.0,0,1,71,15,40.59453834244933,188.5430265020983,0
54435.0,0,1,75,9,1.4919599590656423,0.45056360921199107,0
54450.0,0,1,63,21,1104.1565151852212,0.4346808063987744,0
54465.0,1,0,93,19,1.5677656148348387,0.7653338763564954,0
54480.0,1,0,127,26,25.286203735985573,112.76346007513261,0
54495.0,0,1,107,27,181.7020662318093,1978.4799615086483,0
54510.0,0,1,82,12,1.6278318738656514,965.4530867811087,0
54525.0,1,1,93,16,3.22311575288982,16.751604151727857,0
54540.0,0,1,77,12,63.92155824452288,1605.493352037438,0
54555.0,0,1,54,16,797.2330219806776,468.698966676296,0
54570.0,0,1,59,21,1398.4677966872707,460.4273165266158,0
54585.0,1,1,101,23,51.625257098384964,849.3574853182687,0
54600.0,0,1,70,23,397.1242004106516,0.6761318646974124,0
54615.0,0,1,64,15,35.89835658152319,0.5056907799732083,0
54630.0,0,1,66,25,55.91145434460896,6.699626299587183,0
54645.0,1,0,101,21,34.88238159876629,392.5408229088546,0
54660.0,1,1,124,13,90.05812247671227,960.5269854191621,0
