step_time,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual
54960.0,71,2,346.327131466571,2483.7941876824993
54975.0,88,7,305.5359627937224,2805.643977990874
54990.0,65,3,415.9984026639722,2633.0421832188163
55005.0,54,8,287.31943304104516,2634.3871691320624
55020.0,80,1,272.5697304872193,2760.734115466299
55035.0,87,5,306.0789927743303,2852.3988961926275
55050.0,59,5,281.4198590102357,2593.2079562787376
55065.0,88,3,195.7848841380792,2674.164470470547
55080.0,94,10,115.27345365412134,2778.707873346894
55095.0,121,5,16.91450398329417,2647.1616655563726
55110.0,75,21,4.50780231123502,1185.2256042177073
55125.0,68,18,183.24645780179685,1721.0935142405258
55140.0,71,8,201.1710291013898,1756.0021235452696
55155.0,65,13,13.216373490953213,1342.2932020073822
55170.0,78,14,313.79962288883564,1348.9527049140581
55185.0,80,7,166.92256518622065,1300.4753802727525
55200.0,73,21,381.5401482904742,1472.8140982246075
55215.0,74,11,248.3177404688366,1389.2869688155122
55230.0,92,7,454.48994463304234,225.57633817548248
55245.0,51,9,516.2986999514175,705.9776244451317
55260.0,81,2,464.67710734663183,1095.0707966475036
55275.0,47,6,369.8128039114567,1820.9064872586782
55290.0,52,12,622.5482351199124,2165.4255981902784
55305.0,47,3,449.9348237314105,2163.6438702321443
55320.0,68,16,483.1145123408105,2376.1416614707196
55335.0,74,3,490.8237729209733,2238.419596599916
55350.0,42,5,196.29247270122247,2360.2995980188343
55365.0,66,14,174.0756940769068,2238.2391136550013
55380.0,90,2,174.1530543239582,2093.9889976505324
55395.0,59,9,171.08388580537854,2351.7451105370938
55410.0,78,16,229.83786856039023,2163.608437219471
55425.0,83,25,219.99853678353458,2083.12127569929
55440.0,96,5,31.17086766097255,2259.0545501440806
55455.0,75,11,111.26149664352913,1742.6818880274534
55470.0,100,18,98.23252454958302,1986.7709260077345
55485.0,86,5,21.508545260423947,2108.036210118291
55500.0,107,18,97.169784829078,1037.7789980042821
55515.0,62,13,48.011980615363264,262.4621409274811
55530.0,79,9,124.18980340041844,162.948434679667
55545.0,66,20,92.06072584249527,183.07701776404974
55560.0,97,18,285.1737613873252,696.2285270718685
55575.0,64,10,96.9311130121332,946.5465761582336
55590.0,81,11,105.85232490673366,1725.832482902708
55605.0,64,6,81.80494908448972,734.4562684569644
55620.0,82,8,421.18420449484853,119.1490662483859
55635.0,55,31,93.01393888692255,301.6924515175444
55650.0,76,16,106.07143759129305,2213.602960051488
55665.0,69,27,92.35999091082911,2274.04714346337
55680.0,90,13,108.16439723033507,2062.0150747973953
55695.0,65,5,248.28119640683522,2258.0976987186646
55710.0,88,6,369.5405577932547,2872.4698705551377
55725.0,75,4,95.29450103785328,2963.092025585619
55740.0,93,4,112.07478624524902,2932.2383636593713
55755.0,67,5,327.39048120794257,2872.347379405743
55770.0,88,7,340.91170000293477,2843.36125456749
55785.0,64,3,332.21452751038544,2843.33597540786
55800.0,99,4,354.96605733922667,2932.2414289948356
55815.0,66,3,98.68376638153572,2932.181818104079
55830.0,86,10,125.12692824429165,2872.3516249109884
55845.0,56,4,315.891273765645,2787.1999384949686
